"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2016-05-08,447327,"AT&T Park",2395,62,"Overcast","10 mph, Out To LF",41593,13:06:00,"2:55","2016/05/08/colmlb-sfnmlb-1","R","mlb","David Feldman","Att","F",104,"P","ksfo","66","29.94","70","1:56 PM"
"2",2016-05-08,447332,"Petco Park",2680,62,"Partly Cloudy","7 mph, L To R",27461,13:40:00,"3:30","2016/05/08/nynmlb-sdnmlb-1","R","mlb","Jack Murray","Att","F",104,"P","ksan","70","29.94","47","1:51 PM"
"3",2016-05-08,447326,"Yankee Stadium",3313,60,"Clear","8 mph, Out To RF",41869,20:08:00,"2:27","2016/05/08/bosmlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","61","29.84","36","8:51 PM"
"4",2016-05-09,447344,"Nationals Park",3309,63,"Overcast","6 mph, Out To RF",27153,19:09:00,"2:57","2016/05/09/detmlb-wasmlb-1","R","mlb","David Vincent","Att","F",104,"P","kdca","61","30.07","70","7:52 PM"
"5",2016-05-09,447345,"Yankee Stadium",3313,69,"Partly Cloudy","8 mph, R To L",41243,19:10:00,"2:41","2016/05/09/kcamlb-nyamlb-1","R","mlb","Billy Altman","Att","F",103,"P","klga","69","29.96","24","7:51 PM"
"6",2016-05-09,447346,"Marlins Park",4169,80,"Clear","11 mph, In From LF",16769,19:11:00,"3:07","2016/05/09/milmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","77","30.07","56","7:53 PM"
"7",2016-05-09,447348,"Fenway Park",3,61,"Partly Cloudy","15 mph, L To R",35227,19:10:00,"3:46","2016/05/09/oakmlb-bosmlb-1","R","mlb","Charlie Scoggins","Att","F",103,"P","kbos","59","29.98","24","7:54 PM"
"8",2016-05-09,447349,"Great American Ball Park",2602,61,"Drizzle","6 mph, Varies",12103,19:10:00,"2:37","2016/05/09/pitmlb-cinmlb-1","R","mlb","Ronald Roth","Att","F",104,"P","kluk","61","29.49","93","7:53 PM"
"9",2016-05-09,447342,"Globe Life Park in Arlington",13,87,"Clear","14 mph, R To L",22958,19:08:00,"3:58","2016/05/09/chamlb-texmlb-1","R","mlb","Steve Weller","Att","F",103,"P","kdfw","81","29.00","30","7:53 PM"
"10",2016-05-11,447350,"Wrigley Field",17,51,"Cloudy","5 mph, In From RF",34508,12:06:00,"3:15","2016/05/11/sdnmlb-chnmlb-1","R","mlb","Bob Rosenberg","Att","F",104,"P","kord","65","29.32","75","12:51 PM"
"11",2016-07-28,447341,"Target Field",3312,75,"Partly Cloudy","13 mph, In From LF",22569,18:10:00,"3:00","2016/07/28/balmlb-minmlb-1","R","mlb","Gregg Wong","Att","F",103,"P","kmsp","74","29.13","57","6:53 PM"
"12",2016-05-09,447343,"Minute Maid Park",2392,73,"Roof Closed","0 mph, None",20222,19:10:00,"2:49","2016/05/09/clemlb-houmlb-1","R","mlb","Greg Porzucek","Att","F",103,"P","khou","78","29.77","74","7:53 PM"
"13",2016-05-09,447340,"Coors Field",19,64,"Partly Cloudy","12 mph, In From CF",22053,18:41:00,"3:23","2016/05/09/arimlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","62","24.29","35","6:53 PM"
"14",2016-05-09,447347,"Dodger Stadium",22,62,"Clear","6 mph, Out To RF",42186,19:10:00,"3:08","2016/05/09/nynmlb-lanmlb-1","R","mlb","Ed Munson","Att","F",104,"P","kbur","60","29.09","69","7:53 PM"
"15",2016-05-09,447351,"Safeco Field",680,66,"Partly Cloudy","3 mph, Out To RF",15230,19:10:00,"3:05","2016/05/09/tbamlb-seamlb-1","R","mlb","Eric Radovich","Att","F",103,"P","kbfi","66","30.10","37","7:53 PM"
"16",2016-05-09,447352,"AT&T Park",2395,57,"Partly Cloudy","11 mph, Out To CF",41256,19:17:00,"2:52","2016/05/09/tormlb-sfnmlb-1","R","mlb","David Feldman","Att","F",104,"P","ksfo","55","29.93","93","7:56 PM"
"17",2016-05-10,447357,"Nationals Park",3309,63,"Partly Cloudy","8 mph, In From RF",24476,19:05:00,"3:16","2016/05/10/detmlb-wasmlb-1","R","mlb","David Vincent","Att","F",104,"P","kdca","62","30.18","65","7:52 PM"
"18",2016-05-10,447358,"Yankee Stadium",3313,59,"Cloudy","9 mph, R To L",39128,19:08:00,"3:07","2016/05/10/kcamlb-nyamlb-1","R","mlb","Howie Karpin","Att","F",103,"P","klga","61","30.14","35","7:51 PM"
