"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-04-05,413661,"Wrigley Field",17,44,"Clear","7 mph, In From CF",35055,19:17:00,"3:04","2015/04/05/slnmlb-chnmlb-1","R","mlb","Bob Rosenberg","April 5, 2015","F",104,"P","kord","45","29.27","58","6:51 PM"
"2",2015-04-06,413663,"Yankee Stadium",3313,54,"Partly Cloudy","5 mph, R To L",48469,13:13:00,"2:59","2015/04/06/tormlb-nyamlb-1","R","mlb","Jordan Sprechman","April 6, 2015","F",103,"P","klga","53","30.18","55","1:51 PM"
"3",2015-04-06,413656,"Comerica Park",2394,52,"Partly Cloudy","5 mph, R To L",45030,13:08:00,"2:30","2015/04/06/minmlb-detmlb-1","R","mlb","Chuck Klonke","April 6, 2015","F",103,"P","kdet","56","29.38","51","1:53 PM"
"4",2015-04-06,413655,"Miller Park",32,70,"Roof Closed","0 mph, None",46032,13:20:00,"3:00","2015/04/06/colmlb-milmlb-1","R","mlb","Tim O'Driscoll","April 6, 2015","F",104,"P","kmke","42","29.29","73","1:52 PM"
"5",2015-04-06,413652,"Citizens Bank Park",2681,71,"Partly Cloudy","11 mph, Out To RF",45549,15:08:00,"3:01","2015/04/06/bosmlb-phimlb-1","R","mlb","Mike Maconi","April 6, 2015","F",104,"P","kphl","72","30.11","20","3:54 PM"
