"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2016-06-22,447941,"Citi Field",3289,86,"Sunny","21 mph, L To R",35185,13:12:00,"3:06","2016/06/22/kcamlb-nynmlb-1","R","mlb","Billy Altman","Att","F",104,"P","klga","84","29.78","28","1:51 PM"
"2",2016-06-22,447942,"Minute Maid Park",2392,73,"Roof Closed","0 mph, None",29649,13:11:00,"3:09","2016/06/22/anamlb-houmlb-1","R","mlb","Greg Porzucek","Att","F",103,"P","khou","87","30.00","65","1:53 PM"
"3",2016-06-22,447948,"Wrigley Field",17,73,"Partly Cloudy","7 mph, Out To RF",41058,13:22:00,"3:02","2016/06/22/slnmlb-chnmlb-1","R","mlb","Don Friske","Att","F",104,"P","kord","72","29.17","78","1:32 PM"
"4",2016-06-22,447943,"Oakland Coliseum",10,66,"Sunny","14 mph, Out To RF",13586,12:37:00,"2:53","2016/06/22/milmlb-oakmlb-1","R","mlb","David Feldman","Att","F",103,"P","koak","65","30.01","61","12:53 PM"
"5",2016-06-22,447936,"Rogers Centre",14,71,"Partly Cloudy","11 mph, Out To CF",46967,16:07:00,"2:54","2016/06/22/arimlb-tormlb-1","R","mlb","Roger Lajoie","Att","F",103,"P","cytz","70","29.60","53","4:40 PM"
"6",2016-06-22,447945,"Oriole Park at Camden Yards",2,83,"Partly Cloudy","9 mph, Out To CF",23785,19:08:00,"2:43","2016/06/22/sdnmlb-balmlb-1","R","mlb","Jim Henneman","Att","F",103,"P","kbwi","79","29.76","44","7:54 PM"
"7",2016-06-22,447946,"PNC Park",31,77,"Cloudy","8 mph, Out To LF",33747,19:08:00,"3:28","2016/06/22/sfnmlb-pitmlb-1","R","mlb","Bob Webb","Att","F",104,"P","kpit","76","28.69","48","7:51 PM"
"8",2016-06-22,447938,"Fenway Park",3,75,"Partly Cloudy","10 mph, L To R",37413,19:12:00,"3:38","2016/06/22/chamlb-bosmlb-1","R","mlb","Charlie Scoggins","Att","F",103,"P","kbos","75","29.82","34","7:54 PM"
"9",2016-06-22,447947,"Comerica Park",2394,81,"Cloudy","9 mph, L To R",31497,19:10:00,"2:39","2016/06/22/seamlb-detmlb-1","R","mlb","Chuck Klonke","Att","F",103,"P","kdet","78","29.21","46","7:53 PM"
"10",2016-06-22,447949,"Progressive Field",5,75,"Clear","10 mph, In From LF",21216,19:10:00,"2:30","2016/06/22/tbamlb-clemlb-1","R","mlb","Chad Broski","Att","F",103,"P","kcle","79","29.08","44","7:51 PM"
"11",2016-06-22,447939,"Globe Life Park in Arlington",13,92,"Partly Cloudy","13 mph, R To L",32407,19:09:00,"2:38","2016/06/22/cinmlb-texmlb-1","R","mlb","Steve Weller","Att","F",103,"P","kdfw","92","29.28","47","7:53 PM"
"12",2016-06-22,447944,"Target Field",3312,77,"Partly Cloudy","11 mph, Out To LF",25032,20:20:00,"2:48 (1:10 delay)","2016/06/22/phimlb-minmlb-1","R","mlb","Stew Thornley","Att","F",103,"P","kmsp","71","28.84","87","8:21 PM"
"13",2016-06-22,447950,"Dodger Stadium",22,75,"Clear","6 mph, Out To RF",43776,19:10:00,"3:35","2016/06/22/wasmlb-lanmlb-1","R","mlb","Ed Munson","Att","F",104,"P","kbur","74","29.08","59","7:53 PM"
"14",2016-06-23,447958,"PNC Park",31,71,"Cloudy","8 mph, Out To LF",29986,12:39:00,"3:04","2016/06/23/sfnmlb-pitmlb-1","R","mlb","Tony Krizmanich","Att","F",104,"P","kpit","72","0.00","78","12:51 PM"
"15",2016-06-23,447956,"Target Field",3312,69,"Overcast","10 mph, In From LF",30012,12:10:00,"3:07","2016/06/23/phimlb-minmlb-1","R","mlb","Kyle Traynor","Att","F",103,"P","kmsp","69","29.13","63","12:53 PM"
"16",2016-06-23,447959,"Comerica Park",2394,71,"Cloudy","3 mph, Out To CF",35767,13:10:00,"3:24","2016/06/23/seamlb-detmlb-1","R","mlb","Chuck Klonke","Att","F",103,"P","kdet","75","29.22","50","1:53 PM"
"17",2016-06-23,447953,"Fenway Park",3,75,"Partly Cloudy","14 mph, In From RF",37790,13:35:00,"4:25","2016/06/23/chamlb-bosmlb-1","R","mlb","Charlie Scoggins","Att","F",103,"P","kbos","72","29.82","51","1:54 PM"
"18",2016-06-23,447952,"Marlins Park",4169,77,"Roof Closed","0 mph, None",25291,19:11:00,"2:43","2016/06/23/chnmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","84","30.06","69","7:53 PM"
"19",2016-06-23,447954,"Turner Field",16,90,"Partly Cloudy","13 mph, L To R",22324,19:11:00,"2:54","2016/06/23/nynmlb-atlmlb-1","R","mlb","Mike Stamus","Att","F",104,"P","katl","89","28.91","46","7:52 PM"
"20",2016-06-23,447957,"Great American Ball Park",2602,81,"Overcast","7 mph, L To R",20443,19:12:00,"3:26","2016/06/23/sdnmlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","79","29.34","84","7:53 PM"
"21",2016-06-23,447951,"Coors Field",19,79,"Partly Cloudy","7 mph, Out To LF",36558,18:40:00,"3:42","2016/06/23/arimlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","74","24.66","50","6:53 PM"
"22",2016-06-23,447955,"Angel Stadium of Anaheim",1,76,"Clear","6 mph, Out To LF",36412,19:09:00,"3:03","2016/06/23/oakmlb-anamlb-1","R","mlb","Chris Johnson","Att","F",103,"P","ksna","67","29.86","81","7:53 PM"
"23",2016-06-24,447965,"PNC Park",31,80,"Partly Cloudy","7 mph, Out To CF",28226,19:07:00,"3:17","2016/06/24/lanmlb-pitmlb-1","R","mlb","Evan Pattak","Att","F",104,"P","kpit","79","28.76","54","7:51 PM"
"24",2016-06-24,447966,"Yankee Stadium",3313,77,"Clear","5 mph, R To L",44808,19:09:00,"2:59","2016/06/24/minmlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","75","30.05","55","7:51 PM"
"25",2016-06-24,447972,"Oriole Park at Camden Yards",2,72,"Cloudy","6 mph, Out To CF",44956,19:07:00,"3:07","2016/06/24/tbamlb-balmlb-1","R","mlb","Jim Henneman","Att","F",103,"P","kbwi","72","29.87","87","7:54 PM"
"26",2016-06-24,447962,"Marlins Park",4169,78,"Roof Closed","0 mph, None",24385,19:11:00,"3:24","2016/06/24/chnmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","84","30.06","74","7:53 PM"
"27",2016-06-24,447963,"Comerica Park",2394,82,"Clear","7 mph, In From CF",37886,19:10:00,"3:01","2016/06/24/clemlb-detmlb-1","R","mlb","Ron Kleinfelter","Att","F",103,"P","kdet","78","29.41","32","7:53 PM"
