"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-06-03,414446,"Petco Park",2680,65,"Partly Cloudy","9 mph, Out To RF",24398,18:11:00,"2:45","2015/06/03/nynmlb-sdnmlb-1","R","mlb","Bill Zavestoski","Att","F",104,"P","ksan","64","29.87","67","6:51 PM"
"2",2015-06-03,414449,"Angel Stadium of Anaheim",1,70,"Partly Cloudy","6 mph, Out To RF",28245,19:06:00,"3:20","2015/06/03/tbamlb-anamlb-1","R","mlb","Ed Munson","Att","F",103,"P","ksna","65","29.81","73","7:53 PM"
"3",2015-06-04,414458,"Comerica Park",2394,73,"Partly Cloudy","6 mph, In From CF",37411,13:08:00,"3:06","2015/06/04/oakmlb-detmlb-1","R","mlb","Chuck Klonke","Att","F",103,"P","kdet","77","29.38","64","1:53 PM"
"4",2015-06-04,414451,"Minute Maid Park",2392,73,"Roof Closed","0 mph, None",20219,13:11:00,"2:59","2015/06/04/balmlb-houmlb-1","R","mlb","Rick Blount","Att","F",103,"P","khou","87","29.93","51","1:53 PM"
"5",2015-06-04,414456,"Fenway Park",3,56,"Partly Cloudy","15 mph, R To L",33615,16:06:00,"3:12","2015/06/04/minmlb-bosmlb-1","R","mlb","Mike Shalin","Att","F",103,"P","kbos","56","30.25","67","4:54 PM"
"6",2015-06-04,414453,"Nationals Park",3309,64,"Rain","4 mph, In From LF",35465,20:56:00,"3:16 (1:51 delay)","2015/06/04/chnmlb-wasmlb-1","R","mlb","David Vincent","Att","F",104,"P","kdca","63","30.14","88","9:17 PM"
"7",2015-06-04,414454,"Citizens Bank Park",2681,65,"Cloudy","13 mph, R To L",21057,19:06:00,"2:41","2015/06/04/cinmlb-phimlb-1","R","mlb","Mike Maconi","Att","F",104,"P","kphl","63","30.18","58","7:26 PM"
"8",2015-06-04,414452,"Globe Life Park in Arlington",13,88,"Clear","9 mph, R To L",27616,19:07:00,"3:55","2015/06/04/chamlb-texmlb-1","R","mlb","Will Rudd","Att","F",103,"P","kdfw","84","29.32","51","7:53 PM"
"9",2015-06-04,414455,"Kauffman Stadium",7,78,"Cloudy","5 mph, In From RF",29552,19:10:00,"2:38 (:44 delay)","2015/06/04/clemlb-kcamlb-1","R","mlb","David Boyce","Att","FR",103,"P","kmci","72","28.93","78","7:53 PM"
"10",2015-06-04,414457,"Chase Field",15,91,"Cloudy","13 mph, Varies",18954,18:40:00,"3:22","2015/06/04/nynmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","85","28.61","30","6:51 PM"
"11",2015-06-04,414459,"Dodger Stadium",22,66,"Partly Cloudy","6 mph, Out To RF",45058,19:11:00,"2:56","2015/06/04/slnmlb-lanmlb-1","R","mlb","Jerry White","Att","F",104,"P","kbur","68","28.99","56","7:53 PM"
"12",2015-06-04,414460,"Safeco Field",680,69,"Partly Cloudy","5 mph, Out To CF",16096,19:10:00,"2:42","2015/06/04/tbamlb-seamlb-1","R","mlb","Eric Radovich","Att","F",103,"P","kbfi","70","30.06","41","7:53 PM"
"13",2015-06-05,414461,"Yankee Stadium",3313,66,"Cloudy","8 mph, R To L",40310,19:10:00,"3:27","2015/06/05/anamlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","64","29.92","70","7:51 PM"
"14",2015-06-05,414463,"Nationals Park",3309,74,"Cloudy","2 mph, In From LF",36124,19:05:00,"2:58","2015/06/05/chnmlb-wasmlb-1","R","mlb","David Vincent","Att","F",104,"P","kdca","73","29.93","66","7:52 PM"
"15",2015-06-05,414472,"Citizens Bank Park",2681,74,"Partly Cloudy","2 mph, Out To RF",20638,19:07:00,"2:58","2015/06/05/sfnmlb-phimlb-1","R","mlb","Mike Maconi","Att","F",104,"P","kphl","73","29.92","71","7:54 PM"
"16",2015-06-05,414465,"Rogers Centre",14,70,"Cloudy","7 mph, In From CF",22971,19:07:00,"2:35","2015/06/05/houmlb-tormlb-1","R","mlb","Herb Morell","Att","F",103,"P","cytz","70","29.67","78","8:00 PM"
"17",2015-06-05,414462,"Progressive Field",5,76,"Partly Cloudy","3 mph, In From LF",26070,19:10:00,"2:48","2015/06/05/balmlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","67","29.15","81","7:51 PM"
"18",2015-06-05,414469,"Fenway Park",3,56,"Cloudy","10 mph, In From RF",34910,19:11:00,"2:31","2015/06/05/oakmlb-bosmlb-1","R","mlb","Bob Ellis","Att","F",103,"P","kbos","56","29.94","80","7:54 PM"
"19",2015-06-05,414471,"Great American Ball Park",2602,83,"Partly Cloudy","6 mph, L To R",33381,19:10:00,"2:51 (1:09 delay)","2015/06/05/sdnmlb-cinmlb-1","R","mlb","Ronald Roth","Att","F",104,"P","kluk","80","29.41","52","7:53 PM"
"20",2015-06-05,414470,"Turner Field",16,83,"Partly Cloudy","7 mph, L To R",27508,19:35:00,"3:28","2015/06/05/pitmlb-atlmlb-1","R","mlb","Jack Wilkinson","Att","F",104,"P","katl","82","28.88","47","7:52 PM"
"21",2015-06-05,414475,"Kauffman Stadium",7,81,"Partly Cloudy","1 mph, L To R",38159,19:12:00,"2:40","2015/06/05/texmlb-kcamlb-1","R","mlb","Max Utsler","Att","F",103,"P","kmci","79","28.93","64","7:53 PM"
"22",2015-06-05,414464,"U.S. Cellular Field",4,55,"Partly Cloudy","18 mph, L To R",24761,19:11:00,"3:08","2015/06/05/detmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","59","29.45","78","7:38 PM"
"23",2015-06-05,414467,"Target Field",3312,74,"Partly Cloudy","11 mph, In From LF",29398,19:10:00,"2:48","2015/06/05/milmlb-minmlb-1","R","mlb","Gregg Wong","Att","F",103,"P","kmsp","73","29.24","51","7:53 PM"
"24",2015-06-05,414466,"Coors Field",19,67,"Partly Cloudy","4 mph, Out To RF",32091,18:42:00,"2:43 (1:55 delay)","2015/06/05/miamlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","67","24.60","76","6:53 PM"
"25",2015-06-05,414468,"Chase Field",15,74,"Roof Closed","0 mph, None",24332,18:40:00,"2:49","2015/06/05/nynmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","78","28.58","68","6:51 PM"
"26",2015-06-05,414473,"Dodger Stadium",22,66,"Clear","9 mph, L To R",44649,19:10:00,"2:22","2015/06/05/slnmlb-lanmlb-1","R","mlb","Ed Munson","Att","F",104,"P","kbur","64","29.02","60","7:53 PM"
"27",2015-06-05,414474,"Safeco Field",680,77,"Clear","3 mph, L To R",20695,19:10:00,"2:55","2015/06/05/tbamlb-seamlb-1","R","mlb","Dan Peterson","Att","F",103,"P","kbfi","78","29.99","30","7:53 PM"
"28",2015-06-06,414478,"Nationals Park",3309,76,"Cloudy","6 mph, In From CF",38214,12:06:00,"2:52","2015/06/06/chnmlb-wasmlb-1","R","mlb","David Vincent","Att","F",104,"P","kdca","80","29.93","58","12:52 PM"
"29",2015-06-06,414480,"Rogers Centre",14,56,"Sunny","10 mph, Out To LF",31809,13:07:00,"3:16","2015/06/06/houmlb-tormlb-1","R","mlb","Herb Morell","Att","F",103,"P","cytz","55","29.94","63","2:00 PM"
"30",2015-06-06,414482,"Target Field",3312,73,"Cloudy","15 mph, In From RF",38707,13:11:00,"3:22","2015/06/06/milmlb-minmlb-1","R","mlb","Gregg Wong","Att","F",103,"P","kmsp","75","29.08","51","1:53 PM"
"31",2015-06-06,414490,"Kauffman Stadium",7,78,"Partly Cloudy","8 mph, R To L",37924,13:10:00,"2:50","2015/06/06/texmlb-kcamlb-1","R","mlb","Max Utsler","Att","F",103,"P","kmci","81","28.91","69","1:53 PM"
"32",2015-06-06,414487,"Citizens Bank Park",2681,77,"Cloudy","14 mph, R To L",29102,15:34:00,"2:53 (:29 delay)","2015/06/06/sfnmlb-phimlb-1","R","mlb","Jay Dunn","Att","F",104,"P","kphl","77","29.94","66","3:54 PM"
"33",2015-06-06,414484,"Fenway Park",3,62,"Cloudy","12 mph, In From CF",36713,16:06:00,"3:10","2015/06/06/oakmlb-bosmlb-1","R","mlb","Charlie Scoggins","Att","F",103,"P","kbos","61","29.95","70","4:54 PM"
"34",2015-06-06,414477,"Progressive Field",5,61,"Partly Cloudy","19 mph, In From RF",24939,16:11:00,"2:44","2015/06/06/balmlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","66","29.27","59","4:51 PM"
"35",2015-06-06,414481,"Coors Field",19,72,"Partly Cloudy","7 mph, R To L",30373,15:21:00,"2:59 (1:11 delay)","2015/06/06/miamlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","71","24.58","53","3:28 PM"
"36",2015-06-06,414486,"Great American Ball Park",2602,72,"Cloudy","6 mph, L To R",40946,16:10:00,"3:12","2015/06/06/sdnmlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","76","29.53","62","4:53 PM"
"37",2015-06-06,414485,"Turner Field",16,88,"Partly Cloudy","8 mph, R To L",33268,19:15:00,"2:44","2015/06/06/pitmlb-atlmlb-1","R","mlb","Jack Wilkinson","Att","F",104,"P","katl","83","28.86","47","7:52 PM"
"38",2015-06-06,414476,"Yankee Stadium",3313,72,"Partly Cloudy","7 mph, In From LF",40096,19:16:00,"3:05","2015/06/06/anamlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","72","29.99","25","7:51 PM"
"39",2015-06-06,414479,"U.S. Cellular Field",4,65,"Clear","9 mph, L To R",28368,18:15:00,"2:54","2015/06/06/detmlb-chamlb-1","R","mlb","Don Friske","Att","F",103,"P","kmdw","67","29.37","54","6:53 PM"
"40",2015-06-06,414483,"Chase Field",15,97,"Partly Cloudy","10 mph, Varies",30265,19:10:00,"2:40","2015/06/06/nynmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","93","28.55","9","7:51 PM"
"41",2015-06-06,414488,"Dodger Stadium",22,67,"Partly Cloudy","7 mph, Out To CF",47655,19:10:00,"2:22","2015/06/06/slnmlb-lanmlb-1","R","mlb","Jerry White","Att","F",104,"P","kbur","68","29.02","59","7:53 PM"
