"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-09-11,415755,"PNC Park",31,78,"Clear","5 mph, R To L",28346,19:08:00,"3:12","2015/09/11/milmlb-pitmlb-1","R","mlb","Tony Krizmanich","Att","F",104,"P","kpit","75","28.54","38","7:51 PM"
"2",2015-09-11,415761,"Yankee Stadium",3313,80,"Clear","3 mph, Out To RF",40220,19:09:00,"3:39","2015/09/11/tormlb-nyamlb-1","R","mlb","Billy Altman","Att","F",103,"P","klga","78","29.76","52","7:51 PM"
"3",2015-09-11,415748,"Tropicana Field",12,72,"Dome","0 mph, None",14796,19:10:00,"3:26","2015/09/11/bosmlb-tbamlb-1","R","mlb","Bill Mathews","Att","F",103,"P","kpie","84","29.91","72","7:53 PM"
"4",2015-09-13,415751,"Progressive Field",5,63,"Partly Cloudy","18 mph, L To R",14487,17:06:00,"3:52","2015/09/13/detmlb-clemlb-2","R","mlb","Bob Maver","Att","F",103,"P","kcle","63","29.13","50","5:51 PM"
"5",2015-09-12,415760,"Great American Ball Park",2602,64,"Overcast","5 mph, L To R",31427,19:10:00,"2:30 (1:07 delay)","2015/09/11/slnmlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","56","29.39","100","7:53 PM"
"6",2015-09-11,415762,"Marlins Park",4169,78,"Roof Closed","0 mph, None",17167,19:10:00,"2:43","2015/09/11/wasmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","86","29.94","74","7:53 PM"
"7",2015-09-11,415757,"Turner Field",16,81,"Partly Cloudy","8 mph, Out To CF",23216,19:35:00,"3:10","2015/09/11/nynmlb-atlmlb-1","R","mlb","Jack Wilkinson","Att","F",104,"P","katl","78","28.79","71","7:52 PM"
"8",2015-09-11,415758,"Globe Life Park in Arlington",13,87,"Partly Cloudy","5 mph, L To R",28133,19:08:00,"2:20","2015/09/11/oakmlb-texmlb-1","R","mlb","Will Rudd","Att","F",103,"P","kdfw","83","29.34","46","7:53 PM"
"9",2015-09-11,415756,"U.S. Cellular Field",4,61,"Cloudy","12 mph, L To R",15641,19:10:00,"2:58","2015/09/11/minmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","62","29.34","60","7:53 PM"
"10",2015-09-11,415754,"Chase Field",15,78,"Roof Closed","0 mph, None",35615,18:40:00,"3:23","2015/09/11/lanmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","98","28.63","24","6:51 PM"
"11",2015-09-11,415752,"Angel Stadium of Anaheim",1,82,"Partly Cloudy","9 mph, Out To CF",39636,19:08:00,"2:43","2015/09/11/houmlb-anamlb-1","R","mlb","Ed Munson","Att","F",103,"P","ksna","80","29.84","48","7:53 PM"
"12",2015-09-11,415750,"Safeco Field",680,76,"Partly Cloudy","1 mph, Varies",19876,19:10:00,"3:11","2015/09/11/colmlb-seamlb-1","R","mlb","Dan Peterson","Att","F",103,"P","kbfi","74","29.95","52","7:53 PM"
"13",2015-09-11,415759,"AT&T Park",2395,67,"Clear","10 mph, Out To CF",41621,19:17:00,"3:02","2015/09/11/sdnmlb-sfnmlb-1","R","mlb","Jim Young","Att","F",104,"P","ksfo","63","29.86","70","7:56 PM"
"14",2015-09-12,415776,"Yankee Stadium",3313,77,"Cloudy","12 mph, R To L",NA,13:09:00,"4:32","2015/09/12/tormlb-nyamlb-1","R","mlb","Billy Altman","Batters faced","F",103,"P","klga","78","29.75","58","1:51 PM"
"15",2015-09-12,415768,"Oriole Park at Camden Yards",2,72,"Overcast","0 mph, None",35439,16:07:00,"3:40 (3:02 delay)","2015/09/12/kcamlb-balmlb-1","R","mlb","Jim Henneman","Att","F",103,"P","kbwi","72","29.48","94","4:42 PM"
"16",2015-09-12,415775,"Great American Ball Park",2602,61,"Cloudy","10 mph, Out To CF",41137,13:34:00,"3:02","2015/09/12/slnmlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","65","29.40","70","1:53 PM"
"17",2015-09-12,415763,"Tropicana Field",12,72,"Dome","0 mph, None",20698,18:10:00,"2:56","2015/09/12/bosmlb-tbamlb-1","R","mlb","Bill Mathews","Att","F",103,"P","kpie","80","29.85","81","6:44 PM"
"18",2015-09-12,415764,"Citizens Bank Park",2681,72,"Cloudy","4 mph, In From CF",20813,19:55:00,"3:12 (:50 delay)","2015/09/12/chnmlb-phimlb-1","R","mlb","Mike Maconi","Att","F",104,"P","kphl","72","29.65","84","8:54 PM"
"19",2015-09-12,415770,"PNC Park",31,57,"Drizzle","5 mph, Out To LF",35749,19:08:00,"2:55","2015/09/12/milmlb-pitmlb-1","R","mlb","Evan Pattak","Att","F",104,"P","kpit","56","28.51","93","7:51 PM"
"20",2015-09-12,415771,"U.S. Cellular Field",4,61,"Partly Cloudy","12 mph, In From RF",26065,18:10:00,"3:29","2015/09/12/minmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","61","29.34","52","6:53 PM"
"21",2015-09-12,415772,"Turner Field",16,76,"Partly Cloudy","12 mph, L To R",27380,19:10:00,"2:57","2015/09/12/nynmlb-atlmlb-1","R","mlb","Jack Wilkinson","Att","F",104,"P","katl","70","28.76","55","7:52 PM"
"22",2015-09-12,415777,"Marlins Park",4169,78,"Roof Closed","0 mph, None",20235,19:11:00,"2:28","2015/09/12/wasmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","87","29.90","72","7:53 PM"
"23",2015-09-12,415773,"Globe Life Park in Arlington",13,82,"Clear","4 mph, In From LF",30487,19:08:00,"3:26","2015/09/12/oakmlb-texmlb-1","R","mlb","Steve Weller","Att","F",103,"P","kdfw","77","29.37","33","7:53 PM"
"24",2015-09-12,415769,"Chase Field",15,77,"Roof Closed","0 mph, None",42517,17:10:00,"3:52","2015/09/12/lanmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","104","28.58","20","5:51 PM"
"25",2015-09-12,415767,"Angel Stadium of Anaheim",1,90,"Partly Cloudy","5 mph, Out To RF",41130,18:07:00,"2:41","2015/09/12/houmlb-anamlb-1","R","mlb","Mel Franks","Att","F",103,"P","ksna","81","29.78","50","6:53 PM"
"26",2015-09-12,415774,"AT&T Park",2395,64,"Overcast","10 mph, Out To CF",41564,18:05:00,"2:35","2015/09/12/sdnmlb-sfnmlb-1","R","mlb","Jim Young","Att","F",104,"P","ksfo","73","29.87","59","6:56 PM"
"27",2015-09-12,415765,"Safeco Field",680,73,"Clear","2 mph, Out To CF",24743,18:10:00,"2:37","2015/09/12/colmlb-seamlb-1","R","mlb","Dan Peterson","Att","F",103,"P","kbfi","78","29.93","42","6:53 PM"
"28",2015-09-13,415781,"Progressive Field",5,63,"Partly Cloudy","20 mph, In From LF",NA,13:10:00,"3:20","2015/09/13/detmlb-clemlb-1","R","mlb","Bob Maver","Batters faced","F",103,"P","kcle","62","29.14","50","1:51 PM"
"29",2015-09-13,415791,"Yankee Stadium",3313,77,"Partly Cloudy","5 mph, R To L",39127,13:11:00,"2:40","2015/09/13/tormlb-nyamlb-1","R","mlb","Billy Altman","Att","F",103,"P","klga","78","29.68","46","1:51 PM"
"30",2015-09-13,415778,"Tropicana Field",12,72,"Dome","0 mph, None",15402,13:09:00,"4:05","2015/09/13/bosmlb-tbamlb-1","R","mlb","Bill Mathews","Att","F",103,"P","kpie","80","29.95","85","1:53 PM"
"31",2015-09-13,415790,"Great American Ball Park",2602,61,"Partly Cloudy","10 mph, R To L",29900,13:10:00,"3:18","2015/09/13/slnmlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","66","29.54","50","1:53 PM"
"32",2015-09-13,415792,"Marlins Park",4169,78,"Roof Closed","0 mph, None",20131,13:11:00,"2:50","2015/09/13/wasmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","88","29.92","65","1:53 PM"
"33",2015-09-13,415779,"Citizens Bank Park",2681,71,"Partly Cloudy","9 mph, L To R",23450,13:36:00,"3:04","2015/09/13/chnmlb-phimlb-1","R","mlb","Jay Dunn","Att","F",104,"P","kphl","69","29.79","57","1:54 PM"
"34",2015-09-13,415785,"PNC Park",31,56,"Cloudy","5 mph, Out To CF",34740,13:56:00,"3:47 (:21 delay)","2015/09/13/milmlb-pitmlb-1","R","mlb","Evan Pattak","Att","F",104,"P","kpit","60","28.66","60","2:51 PM"
"35",2015-09-13,415787,"Turner Field",16,71,"Sunny","17 mph, L To R",23786,13:35:00,"3:38","2015/09/13/nynmlb-atlmlb-1","R","mlb","Jack Wilkinson","Att","F",104,"P","katl","72","28.95","40","1:52 PM"
"36",2015-09-13,415786,"U.S. Cellular Field",4,72,"Partly Cloudy","8 mph, Out To RF",23159,13:10:00,"2:57","2015/09/13/minmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","70","29.35","38","1:53 PM"
"37",2015-09-13,415788,"Globe Life Park in Arlington",13,86,"Partly Cloudy","11 mph, R To L",26131,14:09:00,"3:52","2015/09/13/oakmlb-texmlb-1","R","mlb","Steve Weller","Att","F",103,"P","kdfw","90","29.35","23","2:53 PM"
"38",2015-09-13,415782,"Angel Stadium of Anaheim",1,87,"Sunny","3 mph, Out To LF",41550,12:37:00,"3:14","2015/09/13/houmlb-anamlb-1","R","mlb","Ed Munson","Att","F",103,"P","ksna","85","29.77","49","12:53 PM"
"39",2015-09-13,415789,"AT&T Park",2395,67,"Overcast","8 mph, L To R",41397,13:05:00,"3:00","2015/09/13/sdnmlb-sfnmlb-1","R","mlb","Chris Thoms","Att","F",104,"P","ksfo","70","29.79","63","1:56 PM"
