"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-06-18,414656,"Nationals Park",3309,77,"Cloudy","3 mph, R To L",29242,19:05:00,"3:02 (:17 delay)","2015/06/18/tbamlb-wasmlb-1","R","mlb","Benjamin Trittipoe","Att","F",104,"P","kdca","77","29.91","83","7:21 PM"
"2",2015-06-18,414651,"Rogers Centre",14,68,"Roof Closed","0 mph, None",27588,19:08:00,"2:34","2015/06/18/nynmlb-tormlb-1","R","mlb","Herb Morell","Att","F",103,"P","cytz","77","29.55","65","7:35 PM"
"3",2015-06-18,414645,"Turner Field",16,75,"Overcast","2 mph, Out To CF",31783,19:55:00,"3:04 (:45 delay)","2015/06/18/bosmlb-atlmlb-1","R","mlb","Mike Stamus","Att","F",104,"P","katl","76","28.98","85","8:52 PM"
"4",2015-06-18,414646,"Progressive Field",5,75,"Overcast","2 mph, Out To CF",15891,19:35:00,"3:01 (1:41 delay)","2015/06/18/chnmlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","72","29.08","84","7:51 PM"
"5",2015-08-24,414647,"Great American Ball Park",2602,72,"Clear","9 mph, R To L",30150,19:10:00,"3:23","2015/08/24/detmlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","71","29.44","51","7:53 PM"
"6",2015-06-18,414650,"Kauffman Stadium",7,79,"Cloudy","9 mph, L To R",36318,19:11:00,"2:38","2015/06/18/milmlb-kcamlb-1","R","mlb","David Boyce","Att","F",103,"P","kmci","77","28.85","76","7:53 PM"
"7",2015-06-18,414652,"U.S. Cellular Field",4,77,"Cloudy","12 mph, Out To CF",21296,19:10:00,"2:58","2015/06/18/pitmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","71","29.31","75","7:38 PM"
"8",2015-06-18,414654,"Safeco Field",680,68,"Partly Cloudy","3 mph, L To R",34354,19:10:00,"2:53","2015/06/18/sfnmlb-seamlb-1","R","mlb","Dan Peterson","Att","F",103,"P","kbfi","69","29.97","49","7:53 PM"
"9",2015-06-18,414657,"Dodger Stadium",22,74,"Clear","4 mph, Out To RF",46977,19:10:00,"2:55","2015/06/18/texmlb-lanmlb-1","R","mlb","Jerry White","Att","F",104,"P","kbur","79","29.04","39","7:53 PM"
"10",2015-06-19,414662,"Yankee Stadium",3313,81,"Partly Cloudy","12 mph, In From RF",44588,19:09:00,"2:50","2015/06/19/detmlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","80","29.91","54","7:51 PM"
"11",2015-06-19,414667,"Nationals Park",3309,84,"Cloudy","5 mph, L To R",38935,19:05:00,"2:36","2015/06/19/pitmlb-wasmlb-1","R","mlb","Todd Jacobson","Att","F",104,"P","kdca","86","29.95","51","7:52 PM"
"12",2015-06-19,414670,"Citizens Bank Park",2681,83,"Cloudy","4 mph, L To R",21169,19:07:00,"3:34","2015/06/19/slnmlb-phimlb-1","R","mlb","Mike Maconi","Att","F",104,"P","kphl","84","29.93","51","7:54 PM"
"13",2015-06-19,414659,"Rogers Centre",14,64,"Cloudy","8 mph, Out To RF",32322,19:07:00,"3:07","2015/06/19/balmlb-tormlb-1","R","mlb","Stephen Utter","Att","F",103,"P","cytz","63","29.80","68","8:00 PM"
"14",2015-06-19,414664,"Great American Ball Park",2602,75,"Overcast","5 mph, In From LF",33379,19:11:00,"2:27","2015/06/19/miamlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","74","29.45","85","7:53 PM"
"15",2015-06-19,414671,"Progressive Field",5,68,"Cloudy","8 mph, In From RF",22811,19:10:00,"3:01","2015/06/19/tbamlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","68","29.19","70","7:51 PM"
"16",2015-06-19,414666,"Turner Field",16,89,"Partly Cloudy","12 mph, L To R",28853,19:35:00,"2:29","2015/06/19/nynmlb-atlmlb-1","R","mlb","Mike Stamus","Att","F",104,"P","katl","87","28.92","49","7:52 PM"
"17",2015-06-19,414660,"Kauffman Stadium",7,84,"Clear","6 mph, In From RF",38190,19:10:00,"2:57","2015/06/19/bosmlb-kcamlb-1","R","mlb","David Boyce","Att","F",103,"P","kmci","80","28.83","56","7:53 PM"
"18",2015-06-19,414661,"Target Field",3312,78,"Overcast","12 mph, R To L",36817,19:11:00,"2:18","2015/06/19/chnmlb-minmlb-1","R","mlb","Stew Thornley","Att","F",103,"P","kmsp","77","28.99","52","7:53 PM"
"19",2015-06-19,414672,"U.S. Cellular Field",4,61,"Cloudy","13 mph, L To R",22864,19:10:00,"2:26","2015/06/19/texmlb-chamlb-1","R","mlb","Don Friske","Att","F",103,"P","kmdw","61","29.33","70","7:53 PM"
"20",2015-06-19,414665,"Coors Field",19,86,"Clear","6 mph, R To L",35841,18:42:00,"3:16","2015/06/19/milmlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","84","24.49","37","6:53 PM"
"21",2015-06-19,414658,"O.co Coliseum",10,63,"Partly Cloudy","14 mph, Out To RF",25528,18:38:00,"3:38","2015/06/19/anamlb-oakmlb-1","R","mlb","Michael Duca","Att","F",103,"P","koak","64","29.94","63","6:53 PM"
"22",2015-06-19,414668,"Chase Field",15,81,"Roof Closed","0 mph, None",27394,18:40:00,"3:08","2015/06/19/sdnmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","109","28.50","2","6:51 PM"
"23",2015-06-19,414663,"Safeco Field",680,70,"Partly Cloudy","1 mph, In From CF",40914,19:10:00,"2:33","2015/06/19/houmlb-seamlb-1","R","mlb","Darin Padur","Att","F",103,"P","kbfi","69","30.09","44","7:53 PM"
"24",2015-06-19,414669,"Dodger Stadium",22,79,"Clear","6 mph, Out To RF",52503,19:10:00,"3:24","2015/06/19/sfnmlb-lanmlb-1","R","mlb","Ed Munson","Att","F",104,"P","kbur","85","28.98","30","7:53 PM"
"25",2015-06-20,414674,"Rogers Centre",14,63,"Sunny","18 mph, R To L",46018,13:07:00,"2:56","2015/06/20/balmlb-tormlb-1","R","mlb","Stephen Utter","Att","F",103,"P","cytz","63","29.68","63","2:00 PM"
"26",2015-06-20,414676,"Target Field",3312,76,"Partly Cloudy","13 mph, R To L",40066,13:11:00,"3:17","2015/06/20/chnmlb-minmlb-1","R","mlb","Stew Thornley","Att","F",103,"P","kmsp","77","28.84","69","1:26 PM"
"27",2015-06-20,414687,"U.S. Cellular Field",4,76,"Cloudy","5 mph, L To R",25738,13:10:00,"2:47","2015/06/20/texmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","77","29.10","66","1:53 PM"
"28",2015-06-20,414673,"O.co Coliseum",10,66,"Cloudy","12 mph, Out To RF",26471,13:07:00,"2:59","2015/06/20/anamlb-oakmlb-1","R","mlb","Jim Young","Att","F",103,"P","koak","68","29.89","56","1:53 PM"
"29",2015-06-20,414682,"Nationals Park",3309,91,"Cloudy","2 mph, R To L",41104,16:05:00,"2:21","2015/06/20/pitmlb-wasmlb-1","R","mlb","Todd Jacobson","Att","F",104,"P","kdca","89","29.85","63","4:52 PM"
"30",2015-06-20,414680,"Coors Field",19,82,"Sunny","5 mph, R To L",35180,14:11:00,"2:27","2015/06/20/milmlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","84","24.60","35","2:53 PM"
"31",2015-06-20,414685,"Citizens Bank Park",2681,82,"Cloudy","11 mph, R To L",24256,19:05:00,"3:02","2015/06/20/slnmlb-phimlb-1","R","mlb","Dick Shute","Att","F",104,"P","kphl","80","29.90","67","7:54 PM"
"32",2015-06-20,414675,"Kauffman Stadium",7,94,"Clear","18 mph, R To L",39115,18:11:00,"3:09","2015/06/20/bosmlb-kcamlb-1","R","mlb","David Boyce","Att","F",103,"P","kmci","91","28.68","50","6:53 PM"
"33",2015-06-20,414679,"Great American Ball Park",2602,81,"Overcast","4 mph, Varies",36755,19:11:00,"2:33","2015/06/20/miamlb-cinmlb-1","R","mlb","Mike Cameron","Att","F",104,"P","kluk","81","29.34","74","7:53 PM"
"34",2015-06-20,414681,"Turner Field",16,79,"Partly Cloudy","9 mph, L To R",40733,19:11:00,"3:11","2015/06/20/nynmlb-atlmlb-1","R","mlb","Jack Wilkinson","Att","F",104,"P","katl","81","28.93","74","7:52 PM"
"35",2015-06-20,414686,"Progressive Field",5,78,"Partly Cloudy","5 mph, Out To LF",24670,19:09:00,"3:07","2015/06/20/tbamlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","76","28.97","74","7:51 PM"
"36",2015-06-20,414677,"Yankee Stadium",3313,67,"Cloudy","9 mph, In From LF",48092,19:16:00,"3:24","2015/06/20/detmlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","66","29.96","90","7:51 PM"
"37",2015-06-20,414684,"Dodger Stadium",22,83,"Sunny","6 mph, L To R",53123,16:15:00,"2:56","2015/06/20/sfnmlb-lanmlb-1","R","mlb","Jerry White","Att","F",104,"P","kbur","88","28.99","22","4:53 PM"
"38",2015-06-20,414678,"Safeco Field",680,72,"Clear","3 mph, In From LF",26770,19:10:00,"2:43","2015/06/20/houmlb-seamlb-1","R","mlb","Dan Peterson","Att","F",103,"P","kbfi","72","29.95","30","7:53 PM"
"39",2015-06-20,414683,"Chase Field",15,79,"Roof Closed","0 mph, None",33649,19:10:00,"2:40","2015/06/20/sdnmlb-arimlb-1","R","mlb","Rodney Johnson","Att","F",104,"P","kphx","107","28.51","5","7:51 PM"
"40",2015-06-21,414692,"Yankee Stadium",3313,81,"Partly Cloudy","17 mph, L To R",38691,13:09:00,"3:01","2015/06/21/detmlb-nyamlb-1","R","mlb","Jordan Sprechman","Att","F",103,"P","klga","84","29.68","53","1:51 PM"
"41",2015-06-21,414689,"Rogers Centre",14,82,"Partly Cloudy","13 mph, L To R",46092,13:07:00,"3:44","2015/06/21/balmlb-tormlb-1","R","mlb","Stephen Utter","Att","F",103,"P","cytz","82","29.46","48","2:00 PM"
"42",2015-06-21,414694,"Great American Ball Park",2602,85,"Sunny","11 mph, Varies",36780,13:11:00,"2:52","2015/06/21/miamlb-cinmlb-1","R","mlb","Ronald Roth","Att","F",104,"P","kluk","85","29.43","53","1:53 PM"
"43",2015-06-21,414701,"Progressive Field",5,74,"Cloudy","8 mph, L To R",20847,13:09:00,"2:36","2015/06/21/tbamlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","76","29.06","76","1:51 PM"
"44",2015-06-21,414697,"Nationals Park",3309,87,"Cloudy","11 mph, L To R",40015,13:37:00,"2:34","2015/06/21/pitmlb-wasmlb-1","R","mlb","Todd Jacobson","Att","F",104,"P","kdca","92","29.84","47","1:52 PM"
"45",2015-06-21,414700,"Citizens Bank Park",2681,85,"Cloudy","15 mph, L To R",30423,13:37:00,"2:29","2015/06/21/slnmlb-phimlb-1","R","mlb","Jay Dunn","Att","F",104,"P","kphl","88","29.78","49","1:54 PM"
"46",2015-06-21,414690,"Kauffman Stadium",7,76,"Overcast","9 mph, R To L",37975,13:13:00,"2:58","2015/06/21/bosmlb-kcamlb-1","R","mlb","David Boyce","Att","F",103,"P","kmci","71","28.89","93","1:21 PM"
"47",2015-06-21,414691,"Target Field",3312,81,"Partly Cloudy","3 mph, Out To CF",40273,13:11:00,"2:59","2015/06/21/chnmlb-minmlb-1","R","mlb","Gregg Wong","Att","F",103,"P","kmsp","84","29.00","37","1:53 PM"
"48",2015-06-21,414702,"U.S. Cellular Field",4,90,"Partly Cloudy","5 mph, In From LF",33668,13:11:00,"3:49","2015/06/21/texmlb-chamlb-1","R","mlb","Bob Rosenberg","Att","F",103,"P","kmdw","86","29.26","46","1:53 PM"
"49",2015-06-21,414688,"O.co Coliseum",10,63,"Sunny","13 mph, Out To RF",29137,13:07:00,"2:58","2015/06/21/anamlb-oakmlb-1","R","mlb","Jim Young","Att","F",103,"P","koak","66","30.03","52","1:53 PM"
"50",2015-06-21,414693,"Safeco Field",680,68,"Sunny","1 mph, L To R",40905,13:10:00,"3:24","2015/06/21/houmlb-seamlb-1","R","mlb","Darin Padur","Att","F",103,"P","kbfi","75","29.88","40","1:53 PM"
"51",2015-06-21,414695,"Coors Field",19,85,"Partly Cloudy","5 mph, Out To RF",41487,14:12:00,"3:09","2015/06/21/milmlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","90","24.54","30","2:53 PM"
