"","game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw","airport_code","temperature_wunder","pressure","humidity","time_weather"
"1",2015-07-10,414951,"Fenway Park",3,76,"Partly Cloudy","9 mph, R To L",37984,19:11:00,"3:03","2015/07/10/nyamlb-bosmlb-1","R","mlb","Bob Ellis","Att","F",103,"P","kbos","74","29.90","59","7:54 PM"
"2",2015-07-10,414952,"Progressive Field",5,71,"Partly Cloudy","7 mph, In From LF",28539,19:12:00,"2:57","2015/07/10/oakmlb-clemlb-1","R","mlb","Bob Maver","Att","F",103,"P","kcle","69","29.27","58","7:51 PM"
"3",2015-07-10,414954,"Globe Life Park in Arlington",13,91,"Clear","14 mph, R To L",33033,19:07:00,"3:05","2015/07/10/sdnmlb-texmlb-1","R","mlb","Greg Porzucek","Att","F",103,"P","kdfw","89","29.37","45","7:53 PM"
"4",2015-07-10,414945,"Coors Field",19,85,"Partly Cloudy","6 mph, In From RF",48254,18:11:00,"2:47","2015/07/10/atlmlb-colmlb-1","R","mlb","Dave Plati","Att","F",104,"P","kden","82","24.56","27","6:53 PM"
"5",2015-07-10,414948,"Target Field",3312,83,"Partly Cloudy","7 mph, Out To LF",31545,19:11:00,"3:22","2015/07/10/detmlb-minmlb-1","R","mlb","Gregg Wong","Att","F",103,"P","kmsp","82","29.10","54","7:53 PM"
"6",2015-07-10,414956,"Kauffman Stadium",7,70,"Drizzle","6 mph, None",31558,21:17:00,"2:55 (2:07 delay)","2015/07/10/tormlb-kcamlb-1","R","mlb","Max Utsler","Att","F",103,"P","kmci","70","28.91","93","9:53 PM"
"7",2015-07-10,414943,"Safeco Field",680,69,"Overcast","2 mph, Out To CF",29679,19:10:00,"2:49","2015/07/10/anamlb-seamlb-1","R","mlb","Eric Radovich","Att","F",103,"P","kbfi","69","29.84","58","7:53 PM"
"8",2015-07-10,414950,"Dodger Stadium",22,73,"Clear","6 mph, L To R",44200,19:10:00,"2:35","2015/07/10/milmlb-lanmlb-1","R","mlb","Jerry White","Att","F",104,"P","kbur","69","29.07","58","7:53 PM"
"9",2015-07-10,414953,"AT&T Park",2395,67,"Partly Cloudy","12 mph, Out To CF",41895,19:15:00,"3:23","2015/07/10/phimlb-sfnmlb-1","R","mlb","Jim Young","Att","F",104,"P","ksfo","64","29.91","70","7:56 PM"
"10",2015-07-11,414971,"Kauffman Stadium",7,85,"Sunny","16 mph, R To L",30790,13:12:00,"2:42","2015/07/11/tormlb-kcamlb-1","R","mlb","Max Utsler","Att","F",103,"P","kmci","88","28.90","65","1:53 PM"
"11",2015-07-11,414961,"Wrigley Field",17,73,"Overcast","10 mph, R To L",41596,15:06:00,"2:45","2015/07/11/chamlb-chnmlb-1","R","mlb","Don Friske","Att","F",104,"P","kord","74","29.38","64","3:51 PM"
"12",2015-07-11,414963,"Target Field",3312,81,"Overcast","13 mph, In From RF",32365,15:05:00,"3:27","2015/07/11/detmlb-minmlb-1","R","mlb","Stew Thornley","Att","F",103,"P","kmsp","80","29.09","67","3:53 PM"
"13",2015-07-11,414959,"Citi Field",3289,85,"Sunny","4 mph, Out To LF",36038,16:10:00,"2:25","2015/07/11/arimlb-nynmlb-1","R","mlb","Howie Karpin","Att","F",104,"P","klga","84","30.02","37","4:51 PM"
"14",2015-07-11,414960,"Coors Field",19,86,"Partly Cloudy","5 mph, Out To CF",40620,14:13:00,"3:26","2015/07/11/atlmlb-colmlb-1","R","mlb","Dave Einspahr","Att","F",104,"P","kden","88","24.66","18","2:53 PM"
"15",2015-07-11,414962,"Marlins Park",4169,76,"Roof Closed","0 mph, None",21052,16:11:00,"2:54","2015/07/11/cinmlb-miamlb-1","R","mlb","Ron Jernick","Att","F",104,"P","kmia","90","30.06","54","4:53 PM"
"16",2015-07-11,414964,"Tropicana Field",12,72,"Dome","0 mph, None",18479,16:10:00,"2:41","2015/07/11/houmlb-tbamlb-1","R","mlb","Bill Mathews","Att","F",103,"P","kpie","93","30.04","56","4:13 PM"
"17",2015-07-11,414967,"Progressive Field",5,75,"Cloudy","7 mph, In From RF",28733,18:35:00,"3:08","2015/07/11/oakmlb-clemlb-1","R","mlb","Chuck Murr","Att","F",103,"P","kcle","74","29.30","52","6:51 PM"
"18",2015-07-11,414966,"Fenway Park",3,80,"Clear","9 mph, L To R",38047,19:16:00,"3:10","2015/07/11/nyamlb-bosmlb-1","R","mlb","Mike Shalin","Att","F",103,"P","kbos","83","29.97","39","7:54 PM"
