"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Adrian Gonzalez","Dodgers","34.9 %","75.6 %","51.2 %","69.5 %","91.5 %","82.5 %","40.0 %","55.0 %","8.8 %","14.8 %","9.1 %","364","1908"
"Lorenzo Cain","Royals","36.1 %","66.2 %","49.6 %","68.7 %","92.5 %","83.0 %","44.8 %","61.2 %","8.4 %","17.1 %","6.8 %","322","9077"
"Stephen Vogt","Athletics","28.3 %","55.3 %","39.3 %","75.0 %","92.1 %","84.8 %","40.7 %","52.3 %","5.9 %","18.8 %","12.5 %","329","5000"
"Kris Bryant","Cubs","26.6 %","74.1 %","46.7 %","46.3 %","77.4 %","67.2 %","42.3 %","63.2 %","15.3 %","29.7 %","13.5 %","340","15429"
"Alex Gordon","Royals","21.3 %","68.0 %","42.0 %","58.6 %","86.7 %","78.7 %","44.3 %","58.3 %","8.8 %","20.2 %","12.5 %","312","5209"
"Mitch Moreland","Rangers","32.5 %","68.9 %","48.2 %","62.2 %","87.3 %","77.7 %","43.2 %","57.5 %","10.7 %","22.0 %","5.9 %","273","3086"
"Mark Teixeira","Yankees","24.2 %","68.9 %","43.5 %","66.9 %","86.9 %","80.6 %","43.3 %","60.4 %","8.3 %","16.3 %","13.4 %","343","1281"
"Andre Ethier","Dodgers","30.5 %","69.1 %","47.0 %","65.6 %","92.3 %","82.4 %","42.8 %","56.8 %","8.2 %","15.4 %","11.3 %","266","6265"
"Joc Pederson","Dodgers","26.6 %","65.8 %","42.6 %","45.8 %","77.3 %","65.7 %","41.0 %","56.3 %","14.5 %","29.2 %","15.8 %","366","11899"
"Albert Pujols","Angels","31.0 %","67.0 %","46.7 %","75.2 %","93.1 %","86.4 %","43.7 %","58.2 %","6.2 %","10.3 %","8.1 %","359","1177"
"George Springer","Astros","20.9 %","71.8 %","44.9 %","53.9 %","69.2 %","65.5 %","47.3 %","63.0 %","15.5 %","26.9 %","13.0 %","324","12856"
"Jose Abreu","White Sox","39.3 %","66.9 %","50.9 %","66.7 %","87.0 %","77.9 %","42.2 %","56.4 %","11.1 %","20.3 %","4.4 %","344","15676"
"Gerardo Parra","Brewers","36.1 %","70.8 %","52.1 %","68.3 %","89.2 %","81.4 %","46.0 %","68.3 %","9.7 %","16.7 %","5.0 %","300","8553"
"Joe Panik","Giants","24.3 %","64.4 %","42.8 %","82.4 %","92.7 %","89.6 %","46.1 %","60.3 %","4.5 %","10.3 %","8.7 %","368","11936"
"Brandon Belt","Giants","26.5 %","81.8 %","49.3 %","59.9 %","79.9 %","73.6 %","41.2 %","56.6 %","12.9 %","26.7 %","9.7 %","318","10264"
"Brian Dozier","Twins","28.4 %","64.6 %","44.0 %","72.2 %","85.7 %","80.7 %","43.1 %","60.3 %","8.5 %","19.8 %","8.7 %","393","9810"
"Charlie Blackmon","Rockies","25.6 %","60.9 %","41.2 %","68.2 %","93.5 %","84.7 %","44.0 %","58.2 %","6.3 %","17.1 %","7.4 %","380","7859"
"Ryan Braun","Brewers","36.6 %","67.7 %","49.4 %","69.2 %","89.8 %","80.8 %","41.3 %","65.8 %","9.4 %","20.7 %","8.6 %","348","3410"
"Dustin Pedroia","Red Sox","25.4 %","59.5 %","42.3 %","78.6 %","92.9 %","88.6 %","49.5 %","54.5 %","4.8 %","12.1 %","8.6 %","314","8370"
"Jhonny Peralta","Cardinals","32.3 %","77.9 %","51.5 %","65.1 %","86.8 %","79.0 %","42.3 %","60.8 %","10.7 %","17.2 %","8.3 %","372","1738"
"Troy Tulowitzki","Rockies","30.5 %","63.5 %","46.1 %","66.7 %","84.6 %","78.3 %","47.2 %","60.8 %","9.9 %","20.9 %","6.0 %","316","3531"
"Nick Hundley","Rockies","24.5 %","77.4 %","50.5 %","55.8 %","85.8 %","78.4 %","49.2 %","61.9 %","10.9 %","19.8 %","5.6 %","252","3376"
"A.J. Pollock","Diamondbacks","30.5 %","59.1 %","43.7 %","65.4 %","92.9 %","82.5 %","46.0 %","63.7 %","7.6 %","15.6 %","7.4 %","366","9256"
"Seth Smith","Mariners","26.3 %","58.4 %","40.4 %","61.0 %","82.8 %","74.8 %","43.9 %","56.7 %","10.2 %","22.4 %","9.1 %","263","7331"
"David Peralta","Diamondbacks","28.4 %","65.8 %","44.0 %","58.3 %","89.0 %","77.5 %","41.9 %","60.4 %","9.9 %","19.6 %","10.2 %","275","2136"
"Brock Holt","Red Sox","25.0 %","56.8 %","39.3 %","73.0 %","91.5 %","85.0 %","45.0 %","62.4 %","5.9 %","20.8 %","11.5 %","279","9345"
"Matt Carpenter","Cardinals","20.3 %","60.4 %","37.4 %","68.2 %","89.4 %","82.8 %","42.5 %","61.5 %","6.4 %","19.7 %","13.6 %","361","8090"
"Denard Span","Nationals","25.8 %","61.5 %","42.0 %","79.6 %","95.6 %","90.2 %","45.4 %","55.1 %","4.1 %","9.8 %","9.1 %","265","8347"
"Yoenis Cespedes","Tigers","39.1 %","63.5 %","49.9 %","66.7 %","86.5 %","77.8 %","44.3 %","60.4 %","11.0 %","21.6 %","3.8 %","366","13110"
"Hanley Ramirez","Red Sox","33.4 %","70.4 %","49.5 %","67.9 %","90.8 %","82.1 %","43.6 %","59.8 %","8.8 %","15.2 %","5.7 %","316","8001"
"Adam Jones","Orioles","46.7 %","79.4 %","59.4 %","70.7 %","89.9 %","80.7 %","38.9 %","66.8 %","11.4 %","14.5 %","4.9 %","325","6368"
"Jimmy Paredes","Orioles","41.5 %","78.6 %","57.2 %","57.2 %","75.8 %","68.0 %","42.1 %","66.1 %","18.3 %","24.9 %","5.1 %","277","5481"
"Yasmany Tomas","Diamondbacks","39.2 %","77.0 %","55.0 %","62.8 %","86.3 %","76.5 %","41.7 %","67.2 %","12.9 %","20.5 %","4.9 %","268","17171"
"Josh Reddick","Athletics","28.0 %","62.9 %","42.2 %","74.8 %","93.0 %","85.9 %","40.8 %","55.6 %","6.0 %","10.8 %","8.1 %","333","3892"
"Russell Martin","Blue Jays","21.5 %","61.8 %","41.1 %","67.4 %","88.5 %","82.8 %","48.6 %","59.0 %","7.1 %","20.5 %","10.1 %","307","4616"
"Matt Duffy","Giants","32.7 %","63.9 %","47.2 %","63.0 %","92.0 %","81.3 %","46.4 %","66.4 %","8.9 %","18.2 %","4.5 %","286","13836"
"Jay Bruce","Reds","29.2 %","75.6 %","46.8 %","62.1 %","86.2 %","76.9 %","37.9 %","56.6 %","10.7 %","22.2 %","12.2 %","343","9892"
"Brian McCann","Yankees","33.1 %","53.9 %","41.7 %","73.4 %","94.0 %","84.4 %","41.6 %","53.5 %","6.5 %","18.6 %","8.3 %","290","4810"
"Kendrys Morales","Royals","32.7 %","73.0 %","50.0 %","62.0 %","88.4 %","78.5 %","42.8 %","55.5 %","10.7 %","15.5 %","7.5 %","348","8610"
"Nori Aoki","Giants","25.8 %","64.7 %","44.3 %","85.5 %","94.9 %","92.0 %","47.6 %","62.9 %","3.5 %","5.8 %","7.9 %","291","13075"
"Logan Forsythe","Rays","22.6 %","56.5 %","38.8 %","75.3 %","87.7 %","83.9 %","47.9 %","60.3 %","6.2 %","17.3 %","8.8 %","353","7185"
"Yunel Escobar","Nationals","32.2 %","76.2 %","52.0 %","67.2 %","93.0 %","84.2 %","45.0 %","66.2 %","8.2 %","12.8 %","5.8 %","328","4191"
"Mike Moustakas","Royals","33.3 %","64.7 %","46.8 %","75.1 %","94.3 %","86.5 %","43.0 %","56.6 %","6.3 %","10.8 %","6.0 %","334","4892"
"Francisco Cervelli","Pirates","21.6 %","65.6 %","43.5 %","64.0 %","86.8 %","81.1 %","49.8 %","63.0 %","8.2 %","19.2 %","7.9 %","265","5275"
"Eric Hosmer","Royals","33.8 %","64.8 %","46.2 %","68.8 %","87.4 %","79.3 %","40.2 %","54.6 %","9.5 %","17.4 %","8.6 %","350","3516"
"Brandon Crawford","Giants","34.6 %","73.0 %","50.5 %","58.8 %","84.0 %","73.9 %","41.5 %","60.9 %","13.0 %","20.3 %","7.5 %","335","5343"
"Mookie Betts","Red Sox","25.4 %","57.0 %","41.1 %","74.7 %","94.7 %","88.5 %","49.8 %","60.6 %","4.7 %","11.6 %","7.1 %","378","13611"
"Cameron Maybin","Braves","26.4 %","61.3 %","43.1 %","65.5 %","91.0 %","82.8 %","47.7 %","59.4 %","7.4 %","18.2 %","9.3 %","313","5223"
"Chris Davis","Orioles","28.5 %","72.0 %","46.4 %","53.3 %","77.1 %","68.4 %","41.0 %","60.5 %","14.6 %","31.3 %","10.8 %","352","9272"
"Michael Brantley","Indians","24.2 %","61.0 %","40.6 %","85.8 %","97.3 %","93.5 %","44.6 %","57.2 %","2.6 %","7.5 %","10.7 %","346","4106"
"Lucas Duda","Mets","29.3 %","63.2 %","42.6 %","59.7 %","88.8 %","76.6 %","39.2 %","52.4 %","9.9 %","25.3 %","10.9 %","359","2502"
"Starling Marte","Pirates","37.7 %","77.8 %","55.8 %","56.3 %","85.1 %","74.5 %","45.2 %","69.7 %","14.1 %","24.1 %","5.3 %","340","9241"
"Kolten Wong","Cardinals","33.6 %","75.1 %","50.5 %","69.2 %","90.4 %","82.0 %","40.6 %","56.1 %","9.0 %","15.3 %","6.5 %","353","12532"
"Edwin Encarnacion","Blue Jays","25.8 %","68.4 %","44.5 %","66.8 %","83.5 %","78.1 %","43.8 %","56.7 %","9.8 %","18.0 %","11.5 %","356","2151"
"Carlos Gomez","Brewers","39.8 %","78.9 %","56.2 %","64.3 %","82.3 %","74.9 %","42.0 %","66.7 %","14.1 %","22.1 %","4.9 %","267","4881"
"DJ LeMahieu","Rockies","26.3 %","63.7 %","44.9 %","74.9 %","89.9 %","85.5 %","49.6 %","58.0 %","6.5 %","17.2 %","7.9 %","343","9874"
"Dee Gordon","Marlins","37.8 %","67.0 %","51.9 %","76.6 %","92.4 %","86.4 %","48.4 %","65.6 %","7.1 %","16.4 %","3.2 %","378","8203"
"Curtis Granderson","Mets","19.0 %","61.5 %","38.1 %","61.6 %","86.0 %","79.3 %","45.0 %","56.1 %","7.9 %","23.2 %","12.1 %","371","4747"
"Trevor Plouffe","Twins","25.5 %","64.0 %","44.1 %","63.6 %","88.1 %","80.8 %","48.3 %","65.5 %","8.5 %","18.1 %","8.2 %","354","7462"
"Howie Kendrick","Dodgers","31.7 %","69.8 %","49.6 %","63.9 %","88.9 %","80.5 %","47.1 %","61.3 %","9.7 %","17.3 %","6.7 %","359","4229"
"Yonder Alonso","Padres","26.1 %","71.4 %","46.4 %","70.3 %","90.5 %","84.2 %","44.8 %","59.4 %","7.3 %","12.7 %","12.0 %","251","2530"
"Neil Walker","Pirates","31.6 %","72.2 %","48.7 %","69.5 %","88.4 %","81.3 %","42.3 %","61.8 %","9.0 %","19.7 %","7.1 %","340","7539"
"Evan Longoria","Rays","28.9 %","67.8 %","46.5 %","63.6 %","83.9 %","77.0 %","45.1 %","60.3 %","10.5 %","20.4 %","9.6 %","363","9368"
"Kyle Seager","Mariners","28.3 %","63.5 %","44.9 %","70.9 %","90.8 %","84.2 %","47.1 %","58.7 %","7.0 %","13.5 %","7.9 %","356","9785"
"Carlos Gonzalez","Rockies","34.8 %","75.6 %","51.7 %","57.2 %","83.3 %","73.0 %","41.3 %","56.7 %","13.9 %","19.8 %","7.7 %","323","7287"
"Danny Espinosa","Nationals","35.8 %","77.5 %","54.1 %","66.4 %","83.4 %","77.0 %","43.7 %","63.4 %","12.2 %","23.1 %","8.8 %","295","9219"
"Carlos Santana","Indians","21.2 %","57.4 %","36.6 %","72.8 %","90.0 %","84.3 %","42.5 %","51.4 %","5.7 %","17.0 %","16.7 %","348","2396"
"Xander Bogaerts","Red Sox","35.8 %","63.2 %","48.9 %","71.0 %","88.8 %","82.0 %","47.6 %","60.4 %","8.8 %","14.9 %","4.8 %","336","12161"
"Nick Markakis","Braves","22.9 %","60.0 %","39.3 %","87.6 %","91.2 %","90.0 %","44.3 %","55.4 %","3.9 %","13.1 %","11.8 %","381","5930"
"Justin Upton","Padres","23.6 %","71.1 %","45.0 %","50.8 %","76.8 %","69.3 %","45.1 %","60.2 %","13.7 %","26.2 %","10.2 %","362","5222"
"Torii Hunter","Twins","35.6 %","74.2 %","53.3 %","68.8 %","86.2 %","79.9 %","45.9 %","64.3 %","10.7 %","16.5 %","7.2 %","333","731"
"Jung Ho Kang","Pirates","25.8 %","61.4 %","42.9 %","54.3 %","85.4 %","75.7 %","48.0 %","59.7 %","10.4 %","20.2 %","7.1 %","253","17182"
"Jose Iglesias","Tigers","36.2 %","57.1 %","46.0 %","83.7 %","96.5 %","91.2 %","47.0 %","66.1 %","4.0 %","9.5 %","6.4 %","283","10231"
"Chris Coghlan","Cubs","23.2 %","69.8 %","44.3 %","64.5 %","89.2 %","82.1 %","45.3 %","53.3 %","7.8 %","17.8 %","12.2 %","287","6878"
"David Ortiz","Red Sox","26.5 %","71.8 %","44.6 %","66.5 %","87.1 %","79.7 %","40.0 %","50.9 %","8.9 %","15.6 %","12.6 %","340","745"
"Billy Burns","Athletics","39.1 %","77.3 %","57.3 %","78.8 %","90.7 %","86.4 %","47.6 %","69.1 %","7.8 %","13.9 %","4.2 %","288","12701"
"Jason Heyward","Cardinals","27.7 %","63.2 %","42.9 %","65.7 %","92.6 %","82.7 %","42.9 %","52.7 %","7.4 %","17.0 %","7.1 %","336","4940"
"Brad Miller","Mariners","30.0 %","68.3 %","47.2 %","59.5 %","81.2 %","73.6 %","44.8 %","65.0 %","12.5 %","20.7 %","9.9 %","294","12775"
"Marlon Byrd","Reds","41.3 %","82.0 %","59.1 %","55.8 %","81.4 %","71.4 %","43.9 %","72.9 %","16.8 %","24.1 %","6.4 %","266","950"
"Jose Altuve","Astros","36.6 %","72.2 %","52.9 %","82.3 %","94.2 %","89.7 %","45.8 %","63.1 %","5.3 %","9.4 %","5.5 %","363","5417"
"Brett Lawrie","Athletics","35.9 %","65.0 %","49.4 %","62.1 %","81.6 %","74.0 %","46.4 %","63.6 %","12.8 %","26.1 %","4.2 %","330","5247"
"Miguel Montero","Cubs","26.4 %","76.0 %","47.5 %","55.3 %","82.1 %","73.5 %","42.4 %","61.2 %","12.4 %","25.1 %","12.9 %","255","3364"
"Carlos Beltran","Yankees","28.9 %","69.6 %","46.7 %","67.7 %","90.6 %","82.6 %","43.8 %","61.8 %","8.1 %","18.7 %","6.1 %","262","589"
"Christian Yelich","Marlins","24.4 %","62.5 %","41.8 %","60.1 %","84.8 %","77.1 %","45.8 %","59.3 %","9.6 %","22.8 %","10.5 %","285","11477"
"Kole Calhoun","Angels","29.2 %","71.7 %","48.0 %","58.9 %","86.1 %","76.9 %","44.3 %","62.7 %","11.1 %","21.4 %","7.1 %","365","11200"
"Ian Kinsler","Tigers","25.1 %","67.4 %","44.4 %","74.3 %","94.4 %","88.2 %","45.6 %","61.5 %","5.2 %","13.5 %","8.6 %","384","6195"
"Ben Revere","Phillies","29.7 %","59.0 %","42.4 %","81.9 %","97.0 %","91.0 %","43.4 %","53.7 %","3.8 %","9.4 %","5.4 %","350","4712"
"Steven Souza Jr.","Rays","24.7 %","66.9 %","45.1 %","46.0 %","78.9 %","69.5 %","48.3 %","66.8 %","13.7 %","35.2 %","10.4 %","307","5667"
"Daniel Murphy","Mets","31.5 %","73.1 %","49.2 %","83.4 %","97.1 %","92.1 %","42.6 %","58.2 %","3.8 %","6.5 %","6.8 %","263","4316"
"Adam LaRoche","White Sox","24.2 %","62.5 %","41.1 %","55.2 %","83.8 %","74.4 %","44.2 %","57.1 %","10.5 %","28.6 %","12.7 %","315","1904"
"Kevin Pillar","Blue Jays","40.7 %","65.3 %","52.3 %","71.1 %","90.1 %","82.3 %","47.3 %","66.2 %","9.3 %","15.8 %","4.5 %","355","12434"
"Anthony Gose","Tigers","31.4 %","74.1 %","50.4 %","59.2 %","85.8 %","76.6 %","44.7 %","66.9 %","11.7 %","24.6 %","5.9 %","272","5097"
"Brandon Moss","Indians","33.6 %","74.4 %","50.7 %","56.3 %","82.1 %","72.2 %","41.8 %","62.5 %","14.0 %","28.1 %","9.1 %","331","4467"
"Luis Valbuena","Astros","27.1 %","69.3 %","45.4 %","61.7 %","85.2 %","77.2 %","43.4 %","57.0 %","10.3 %","22.3 %","9.6 %","323","4969"
"David Freese","Angels","29.6 %","64.1 %","45.4 %","61.0 %","88.4 %","78.7 %","46.0 %","61.3 %","9.7 %","22.6 %","7.1 %","336","9549"
"Salvador Perez","Royals","41.5 %","69.1 %","53.9 %","71.7 %","91.2 %","82.9 %","45.0 %","58.9 %","9.2 %","14.5 %","1.6 %","304","7304"
"Pedro Alvarez","Pirates","31.0 %","71.9 %","47.7 %","54.1 %","86.0 %","73.7 %","40.8 %","60.3 %","12.2 %","23.7 %","8.7 %","287","2495"
"Joe Mauer","Twins","27.7 %","58.1 %","41.6 %","77.1 %","90.0 %","85.3 %","45.8 %","57.7 %","6.0 %","16.1 %","9.0 %","366","1857"
"Avisail Garcia","White Sox","44.9 %","78.5 %","58.9 %","53.9 %","81.8 %","69.4 %","41.7 %","67.9 %","18.0 %","24.1 %","4.8 %","311","5760"
"Mark Trumbo","- - -","36.6 %","69.1 %","50.6 %","54.8 %","86.4 %","73.4 %","43.0 %","61.9 %","13.5 %","23.8 %","5.1 %","294","6876"
"Jose Reyes","Blue Jays","33.3 %","66.5 %","47.1 %","77.1 %","90.4 %","84.9 %","41.6 %","62.4 %","7.1 %","11.8 %","4.4 %","271","1736"
"Alcides Escobar","Royals","36.7 %","68.2 %","51.5 %","71.4 %","90.7 %","83.4 %","47.1 %","68.0 %","8.5 %","10.8 %","4.1 %","344","6310"
"Ryan Howard","Phillies","38.5 %","77.1 %","54.9 %","49.8 %","81.2 %","68.5 %","42.5 %","60.8 %","17.2 %","28.5 %","4.7 %","319","2154"
"Shin-Soo Choo","Rangers","27.2 %","64.2 %","43.2 %","62.4 %","79.2 %","73.2 %","43.3 %","57.2 %","11.6 %","24.1 %","9.2 %","348","3174"
"Adam Eaton","White Sox","28.9 %","58.9 %","42.8 %","78.2 %","88.4 %","84.7 %","46.4 %","59.9 %","6.5 %","17.8 %","6.4 %","359","11205"
"Josh Harrison","Pirates","39.4 %","69.9 %","55.0 %","72.6 %","86.3 %","81.6 %","51.2 %","64.4 %","10.1 %","14.7 %","3.4 %","326","8202"
"Pablo Sandoval","Red Sox","47.2 %","74.8 %","58.4 %","76.6 %","88.8 %","83.0 %","40.6 %","65.2 %","10.0 %","13.1 %","4.2 %","313","5409"
"Yangervis Solarte","Padres","31.4 %","69.0 %","48.1 %","74.4 %","94.8 %","87.4 %","44.4 %","59.4 %","6.1 %","11.0 %","6.7 %","283","5352"
"Marcus Semien","Athletics","26.0 %","62.8 %","44.2 %","58.7 %","87.8 %","79.2 %","49.5 %","59.8 %","9.2 %","21.6 %","6.2 %","356","12533"
"Evan Gattis","Astros","42.7 %","71.8 %","55.3 %","67.0 %","82.8 %","75.9 %","43.4 %","62.4 %","13.2 %","22.4 %","3.5 %","340","11003"
"Odubel Herrera","Phillies","35.8 %","69.0 %","50.8 %","60.0 %","87.4 %","76.8 %","45.1 %","65.1 %","11.8 %","24.5 %","3.2 %","278","11476"
"Billy Butler","Athletics","30.8 %","61.3 %","44.7 %","66.5 %","90.9 %","81.8 %","45.6 %","61.9 %","8.1 %","16.6 %","8.0 %","349","7399"
"Johnny Giavotella","Angels","26.2 %","63.8 %","44.8 %","73.0 %","92.8 %","87.0 %","49.5 %","62.6 %","5.8 %","12.8 %","7.3 %","329","6740"
"Chris Carter","Astros","24.9 %","74.5 %","46.7 %","46.3 %","72.2 %","64.5 %","44.0 %","61.5 %","16.6 %","33.8 %","12.9 %","340","9911"
"Chase Headley","Yankees","27.9 %","65.9 %","44.5 %","62.0 %","89.9 %","80.0 %","43.7 %","56.8 %","8.9 %","21.6 %","6.8 %","352","4720"
"Ender Inciarte","Diamondbacks","34.4 %","60.7 %","46.9 %","80.8 %","94.9 %","89.4 %","47.3 %","65.5 %","5.0 %","11.2 %","3.0 %","267","4922"
"Martin Prado","Marlins","28.6 %","53.7 %","41.1 %","76.9 %","96.7 %","89.8 %","49.7 %","61.6 %","4.2 %","12.2 %","4.4 %","271","3312"
"Jace Peterson","Braves","27.2 %","59.9 %","42.1 %","61.4 %","86.8 %","77.8 %","45.5 %","60.0 %","9.3 %","19.1 %","9.9 %","345","12325"
"Dexter Fowler","Cubs","22.0 %","70.7 %","43.4 %","66.3 %","85.8 %","80.2 %","44.0 %","59.1 %","8.6 %","22.2 %","9.5 %","369","4062"
"Erick Aybar","Angels","38.4 %","69.2 %","51.7 %","73.7 %","94.4 %","85.7 %","43.1 %","65.5 %","7.4 %","12.9 %","4.6 %","348","4082"
"Kevin Kiermaier","Rays","31.2 %","71.7 %","50.1 %","71.8 %","84.5 %","80.3 %","46.8 %","65.6 %","9.9 %","18.0 %","3.9 %","305","11038"
"Adeiny Hechavarria","Marlins","35.6 %","70.4 %","52.5 %","73.4 %","86.9 %","82.2 %","48.7 %","67.3 %","9.2 %","16.4 %","4.8 %","336","10459"
"Derek Norris","Padres","27.1 %","64.9 %","46.1 %","55.8 %","88.2 %","78.7 %","50.4 %","61.4 %","9.8 %","24.0 %","5.3 %","337","6867"
"Brandon Phillips","Reds","37.0 %","75.0 %","54.2 %","67.8 %","92.3 %","83.2 %","45.4 %","66.2 %","9.1 %","11.5 %","4.8 %","314","791"
"Yadier Molina","Cardinals","38.0 %","75.9 %","55.1 %","80.3 %","88.6 %","85.5 %","45.2 %","63.8 %","8.0 %","12.7 %","5.9 %","323","7007"
"Logan Morrison","Mariners","31.1 %","70.6 %","48.2 %","67.0 %","89.6 %","81.3 %","43.3 %","56.5 %","8.9 %","15.3 %","8.4 %","347","9205"
"Aramis Ramirez","Brewers","36.5 %","73.2 %","52.4 %","70.4 %","90.1 %","82.3 %","43.2 %","65.7 %","9.2 %","14.6 %","5.0 %","280","1002"
"Mark Reynolds","Cardinals","32.2 %","69.9 %","48.1 %","50.8 %","80.7 %","69.2 %","42.3 %","62.7 %","14.8 %","32.3 %","8.8 %","260","7619"
"Wilmer Flores","Mets","29.7 %","67.0 %","48.3 %","84.0 %","90.1 %","88.2 %","49.8 %","60.6 %","5.7 %","12.2 %","3.8 %","320","5827"
"Freddy Galvis","Phillies","39.6 %","64.9 %","50.8 %","73.3 %","89.7 %","82.6 %","44.2 %","64.9 %","8.8 %","17.5 %","5.2 %","325","6609"
"Adrian Beltre","Rangers","37.4 %","66.7 %","50.9 %","77.5 %","90.0 %","85.1 %","46.2 %","63.6 %","7.6 %","10.8 %","4.4 %","297","639"
"Matt Kemp","Padres","37.3 %","71.4 %","51.8 %","61.2 %","84.7 %","75.0 %","42.4 %","60.4 %","13.0 %","24.1 %","4.8 %","374","5631"
"Nick Ahmed","Diamondbacks","32.4 %","62.8 %","46.0 %","61.9 %","88.5 %","78.2 %","44.8 %","66.2 %","10.0 %","18.5 %","8.0 %","275","12147"
"Michael Cuddyer","Mets","37.2 %","68.0 %","51.1 %","59.6 %","87.9 %","76.6 %","45.2 %","62.7 %","12.0 %","23.8 %","5.9 %","303","1534"
"Wilson Ramos","Nationals","35.5 %","73.7 %","53.7 %","62.6 %","89.4 %","80.2 %","47.8 %","64.5 %","10.6 %","18.1 %","4.3 %","282","1433"
"Addison Russell","Cubs","29.5 %","70.6 %","47.6 %","52.2 %","81.7 %","71.5 %","44.0 %","64.8 %","13.6 %","31.1 %","8.2 %","267","14106"
"Mike Napoli","Red Sox","23.5 %","65.0 %","42.1 %","59.1 %","83.0 %","75.6 %","44.7 %","57.3 %","10.2 %","25.6 %","12.0 %","309","3057"
