"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Bryce Harper","Nationals","28.6 %","73.8 %","45.5 %","63.8 %","85.6 %","77.0 %","37.5 %","54.5 %","10.3 %","20.4 %","18.4 %","343","11579"
"Paul Goldschmidt","Diamondbacks","22.1 %","64.4 %","40.4 %","65.0 %","83.6 %","77.9 %","43.4 %","56.2 %","8.6 %","19.4 %","17.6 %","386","9218"
"Miguel Cabrera","Tigers","30.7 %","71.8 %","47.8 %","67.0 %","88.1 %","80.2 %","41.5 %","58.3 %","9.1 %","16.5 %","15.9 %","333","1744"
"Mike Trout","Angels","27.0 %","59.4 %","40.8 %","69.5 %","87.3 %","80.5 %","42.5 %","56.4 %","7.7 %","22.5 %","11.6 %","378","10155"
"Anthony Rizzo","Cubs","30.4 %","65.9 %","43.9 %","73.7 %","92.8 %","84.6 %","38.0 %","53.7 %","6.7 %","12.1 %","11.8 %","380","3473"
"Yasmani Grandal","Dodgers","21.6 %","58.5 %","37.4 %","71.0 %","88.7 %","82.9 %","42.9 %","58.4 %","6.4 %","19.1 %","16.3 %","257","11368"
"Giancarlo Stanton","Marlins","31.0 %","64.3 %","45.2 %","45.8 %","78.7 %","65.8 %","42.8 %","56.6 %","15.2 %","29.9 %","10.7 %","318","4949"
"Prince Fielder","Rangers","34.4 %","72.1 %","49.5 %","70.7 %","93.4 %","84.0 %","40.1 %","53.6 %","7.8 %","10.3 %","8.2 %","377","4613"
"Nelson Cruz","Mariners","32.4 %","67.7 %","46.9 %","62.0 %","81.6 %","73.6 %","41.2 %","58.0 %","12.2 %","23.2 %","9.1 %","362","2434"
"Todd Frazier","Reds","35.4 %","72.7 %","51.4 %","65.6 %","87.3 %","78.7 %","42.8 %","59.6 %","10.9 %","17.4 %","6.4 %","374","785"
"J.D. Martinez","Tigers","36.3 %","76.2 %","54.1 %","55.2 %","79.6 %","70.5 %","44.6 %","66.9 %","15.8 %","26.4 %","7.2 %","360","6184"
"Alex Rodriguez","Yankees","26.5 %","68.1 %","44.1 %","56.1 %","77.4 %","70.0 %","42.3 %","61.5 %","13.2 %","21.0 %","13.2 %","348","1274"
"Andrew McCutchen","Pirates","24.6 %","71.3 %","44.9 %","63.3 %","83.5 %","77.2 %","43.4 %","58.1 %","10.1 %","16.1 %","12.4 %","372","9847"
"Jason Kipnis","Indians","24.7 %","63.4 %","42.6 %","70.1 %","92.9 %","85.8 %","46.4 %","56.3 %","6.0 %","14.6 %","10.4 %","403","9776"
"Nolan Arenado","Rockies","39.7 %","78.5 %","57.1 %","67.1 %","91.9 %","82.3 %","44.8 %","60.9 %","9.8 %","13.6 %","4.8 %","353","9777"
"Manny Machado","Orioles","24.1 %","65.7 %","43.4 %","73.3 %","90.3 %","85.2 %","46.4 %","56.5 %","6.4 %","15.6 %","9.2 %","379","11493"
"Adam Lind","Brewers","32.6 %","60.9 %","44.1 %","70.3 %","90.6 %","81.7 %","40.6 %","52.9 %","8.0 %","17.4 %","12.0 %","333","8027"
"Freddie Freeman","Braves","30.3 %","76.8 %","49.3 %","65.5 %","82.7 %","76.4 %","40.9 %","55.1 %","11.5 %","22.3 %","9.2 %","283","5361"
"Joey Votto","Reds","20.5 %","66.4 %","39.8 %","71.1 %","83.5 %","79.8 %","42.1 %","56.0 %","8.0 %","18.9 %","15.4 %","370","4314"
"Buster Posey","Giants","28.3 %","71.6 %","46.7 %","79.1 %","92.4 %","87.8 %","42.6 %","61.6 %","5.7 %","8.8 %","10.0 %","341","9166"
"Josh Donaldson","Blue Jays","25.2 %","72.4 %","47.3 %","59.9 %","82.2 %","75.9 %","46.8 %","53.8 %","11.4 %","19.3 %","7.6 %","394","5038"
"Jose Bautista","Blue Jays","22.8 %","61.4 %","39.2 %","69.1 %","86.5 %","80.6 %","42.3 %","53.3 %","7.6 %","15.6 %","18.3 %","360","1887"
"Brett Gardner","Yankees","22.2 %","55.3 %","36.6 %","64.6 %","90.8 %","81.8 %","43.4 %","51.2 %","6.6 %","19.8 %","9.9 %","363","9927"
