"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Trevor Story","Rockies","28.2 %","65.3 %","45.0 %","48.4 %","77.8 %","67.7 %","45.2 %","65.9 %","14.5 %","35.2 %","9.9 %","284","12564"
"Kyle Schwarber","Cubs","28.5 %","65.5 %","43.9 %","63.9 %","83.0 %","75.8 %","41.6 %","51.6 %","10.6 %","28.2 %","13.7 %","277","16478"
"Kole Calhoun","Angels","30.2 %","72.3 %","48.7 %","57.5 %","86.6 %","76.5 %","43.9 %","60.2 %","11.4 %","20.7 %","9.4 %","382","11200"
"Yadier Molina","Cardinals","38.5 %","71.3 %","53.8 %","77.2 %","85.4 %","82.3 %","46.7 %","62.0 %","9.5 %","13.8 %","4.6 %","305","7007"
"Victor Martinez","Tigers","27.3 %","69.4 %","46.5 %","77.8 %","91.6 %","87.2 %","45.6 %","58.7 %","6.0 %","12.9 %","8.4 %","286","393"
"Mike Napoli","Rangers","27.8 %","62.7 %","43.1 %","50.3 %","78.6 %","68.3 %","43.7 %","53.7 %","13.7 %","32.5 %","8.5 %","283","3057"
"Jason Kipnis","Indians","28.2 %","66.2 %","46.7 %","62.0 %","88.9 %","80.6 %","48.6 %","62.5 %","9.1 %","17.0 %","7.8 %","283","9776"
"Aledmys Diaz","Cardinals","38.6 %","68.8 %","52.3 %","65.7 %","89.1 %","79.7 %","45.4 %","61.8 %","10.6 %","14.2 %","4.5 %","288","15937"
"Carlos Beltran","Astros","32.3 %","65.1 %","47.1 %","61.3 %","90.6 %","79.6 %","45.2 %","63.9 %","9.6 %","21.1 %","7.0 %","313","589"
"Addison Russell","Cubs","29.8 %","69.2 %","48.9 %","58.1 %","82.0 %","74.5 %","48.3 %","58.3 %","12.5 %","23.0 %","7.8 %","283","14106"
"Odubel Herrera","Phillies","40.0 %","70.1 %","52.9 %","64.0 %","85.0 %","75.9 %","42.9 %","63.0 %","12.8 %","24.3 %","4.6 %","346","11476"
"Erick Aybar","Padres","32.3 %","65.0 %","46.9 %","70.2 %","92.9 %","84.3 %","44.9 %","66.8 %","7.4 %","16.2 %","8.1 %","259","4082"
"Jonathan Lucroy","Rangers","29.8 %","59.9 %","44.5 %","76.2 %","95.5 %","88.9 %","48.9 %","65.5 %","4.9 %","10.3 %","5.4 %","261","7870"
"Hunter Pence","Giants","30.5 %","69.1 %","46.7 %","59.6 %","81.8 %","73.4 %","42.0 %","57.9 %","12.4 %","19.3 %","6.1 %","280","8252"
"Matt Wieters","Nationals","31.2 %","72.6 %","50.9 %","71.2 %","83.9 %","79.8 %","47.4 %","57.5 %","10.3 %","19.3 %","6.5 %","275","4298"
"Albert Pujols","Angels","33.5 %","65.6 %","47.7 %","63.8 %","90.5 %","80.0 %","44.3 %","56.2 %","9.5 %","15.8 %","6.5 %","354","1177"
"Austin Hedges","Padres","39.8 %","73.0 %","54.9 %","54.2 %","79.4 %","69.5 %","45.5 %","64.5 %","16.8 %","29.3 %","5.1 %","256","12976"
"Rougned Odor","Rangers","40.6 %","74.8 %","54.2 %","62.5 %","86.8 %","75.9 %","39.9 %","60.9 %","13.1 %","24.0 %","3.8 %","366","12282"
"Jose Reyes","Mets","31.7 %","61.0 %","45.4 %","71.7 %","92.2 %","84.6 %","46.7 %","66.3 %","7.0 %","12.4 %","8.7 %","323","1736"
"Maikel Franco","Phillies","29.2 %","72.8 %","47.6 %","64.4 %","88.1 %","79.7 %","42.2 %","63.4 %","9.7 %","13.5 %","7.2 %","347","12179"
"Jonathan Villar","Brewers","28.9 %","67.8 %","47.0 %","53.5 %","80.0 %","71.3 %","46.7 %","62.0 %","13.5 %","30.0 %","8.7 %","300","10071"
"Carlos Gonzalez","Rockies","34.2 %","74.7 %","50.5 %","51.8 %","83.1 %","70.4 %","40.1 %","55.4 %","15.0 %","21.5 %","10.1 %","298","7287"
"Jose Iglesias","Tigers","34.6 %","55.2 %","44.8 %","77.2 %","93.3 %","87.0 %","49.2 %","62.3 %","5.8 %","13.6 %","4.0 %","273","10231"
"Billy Hamilton","Reds","29.8 %","61.7 %","44.2 %","71.1 %","88.9 %","82.3 %","45.1 %","64.1 %","7.8 %","21.4 %","7.2 %","373","10199"
"Tim Anderson","White Sox","39.7 %","71.2 %","53.6 %","55.6 %","84.8 %","72.8 %","44.2 %","64.8 %","14.6 %","26.9 %","2.8 %","324","15172"
"Brandon Crawford","Giants","33.2 %","79.1 %","53.7 %","55.8 %","83.8 %","74.2 %","44.7 %","60.3 %","13.9 %","20.5 %","5.7 %","297","5343"
"Jose Peraza","Reds","39.5 %","68.7 %","53.7 %","70.0 %","91.6 %","83.4 %","48.5 %","64.9 %","8.9 %","14.9 %","1.5 %","336","13593"
"Byron Buxton","Twins","30.6 %","64.8 %","47.1 %","52.3 %","81.1 %","71.4 %","48.3 %","61.8 %","13.5 %","30.7 %","8.8 %","283","14161"
"Dansby Swanson","Braves","29.2 %","67.9 %","46.0 %","59.4 %","85.0 %","75.8 %","43.5 %","58.8 %","11.1 %","23.0 %","9.9 %","335","18314"
"Alex Gordon","Royals","25.3 %","71.4 %","46.6 %","52.4 %","88.9 %","78.2 %","46.1 %","56.8 %","10.2 %","20.6 %","9.0 %","301","5209"
"Jorge Polanco","Twins","29.5 %","63.6 %","45.9 %","76.2 %","94.6 %","88.5 %","48.1 %","59.9 %","5.3 %","13.9 %","6.6 %","287","13152"
"Alcides Escobar","Royals","36.8 %","71.9 %","53.0 %","67.2 %","85.1 %","78.4 %","46.2 %","62.1 %","11.4 %","18.5 %","1.7 %","351","6310"
"Danny Espinosa","Angels","32.3 %","75.6 %","52.1 %","38.4 %","72.0 %","60.7 %","45.8 %","60.2 %","20.4 %","35.8 %","7.5 %","254","9219"
