"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Harold Castro","Tigers","42.6 %","66.8 %","52.6 %","67.7 %","83.9 %","76.3 %","41.6 %","63.7 %","12.5 %","23.2 %","1.9 %","259","14691"
"Jose Osuna","Pirates","34.6 %","75.2 %","51.3 %","72.9 %","84.9 %","80.1 %","41.1 %","66.8 %","10.2 %","15.9 %","6.2 %","226","12937"
"Josh Reddick","Astros","33.6 %","74.1 %","50.6 %","73.9 %","94.1 %","86.3 %","42.1 %","58.3 %","6.9 %","13.4 %","6.9 %","216","3892"
"Luis Rengifo","Angels","31.7 %","62.6 %","45.8 %","65.5 %","80.3 %","74.7 %","45.4 %","60.8 %","11.6 %","24.0 %","10.3 %","204","19858"
"Colin Moran","Pirates","40.2 %","78.5 %","56.0 %","67.9 %","85.6 %","78.1 %","41.4 %","65.4 %","12.2 %","22.2 %","6.0 %","234","16909"
"Roberto Perez","Indians","26.3 %","61.5 %","40.9 %","60.3 %","79.7 %","72.4 %","41.3 %","57.1 %","11.3 %","28.3 %","8.5 %","212","2900"
"Dawel Lugo","Tigers","45.9 %","67.3 %","54.4 %","75.3 %","85.6 %","80.3 %","39.7 %","70.2 %","10.7 %","19.9 %","3.0 %","201","14713"
"Freddy Galvis","- - -","42.4 %","74.7 %","55.0 %","66.0 %","82.3 %","74.6 %","38.9 %","61.1 %","14.0 %","26.8 %","3.8 %","239","6609"
"Yolmer Sanchez","White Sox","33.9 %","70.7 %","49.8 %","69.2 %","87.0 %","80.1 %","43.1 %","64.8 %","9.9 %","19.7 %","8.5 %","284","11602"
"Eric Hosmer","Padres","37.4 %","71.4 %","50.0 %","54.2 %","84.5 %","70.3 %","37.2 %","54.3 %","14.9 %","31.1 %","5.2 %","289","3516"
"Delino DeShields","Rangers","26.0 %","66.0 %","44.0 %","60.0 %","85.4 %","77.1 %","44.8 %","60.4 %","10.1 %","27.7 %","6.4 %","202","11379"
"Leury Garcia","White Sox","39.2 %","73.5 %","54.4 %","65.9 %","86.1 %","78.0 %","44.4 %","60.3 %","12.0 %","23.0 %","3.2 %","282","5913"
"Daniel Vogelbach","Mariners","23.0 %","51.5 %","34.1 %","57.3 %","77.6 %","69.3 %","39.0 %","48.4 %","10.5 %","32.3 %","14.3 %","217","14130"
"Cheslor Cuthbert","Royals","32.4 %","77.3 %","51.2 %","61.4 %","87.6 %","77.9 %","41.8 %","68.5 %","11.3 %","17.0 %","7.0 %","200","10473"
"Robbie Grossman","Athletics","20.1 %","63.6 %","38.0 %","70.6 %","93.8 %","86.5 %","41.1 %","55.5 %","5.1 %","19.4 %","11.8 %","211","5254"
"Mallex Smith","Mariners","28.9 %","70.2 %","47.6 %","59.1 %","81.5 %","74.0 %","45.2 %","64.6 %","12.4 %","26.4 %","7.7 %","246","13608"
"Khris Davis","Athletics","29.6 %","82.6 %","50.9 %","49.4 %","72.4 %","64.4 %","40.2 %","59.6 %","18.1 %","29.1 %","10.0 %","230","9112"
"J.P. Crawford","Mariners","21.3 %","66.2 %","42.2 %","70.2 %","87.4 %","82.7 %","46.6 %","63.8 %","7.3 %","18.8 %","11.8 %","229","15491"
"Elvis Andrus","Rangers","34.9 %","61.9 %","46.2 %","68.2 %","92.4 %","81.8 %","41.9 %","64.0 %","8.4 %","14.1 %","6.1 %","297","8709"
"Isan Diaz","Marlins","25.9 %","57.3 %","37.7 %","58.7 %","84.7 %","73.5 %","37.4 %","55.7 %","10.0 %","29.4 %","9.5 %","201","17922"
"Hunter Renfroe","Padres","29.3 %","62.2 %","41.7 %","51.9 %","80.2 %","67.8 %","37.6 %","58.5 %","13.4 %","36.6 %","11.7 %","205","15464"
"Orlando Arcia","Brewers","34.6 %","72.3 %","50.0 %","68.8 %","85.3 %","78.6 %","40.8 %","62.0 %","10.7 %","20.4 %","7.5 %","226","13185"
