"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Hanley Ramirez","Red Sox","29.0 %","67.2 %","45.5 %","61.7 %","86.3 %","77.4 %","43.3 %","58.2 %","10.2 %","18.9 %","9.7 %","349","8001"
"Jason Kipnis","Indians","26.1 %","60.3 %","42.0 %","70.8 %","88.2 %","82.4 %","46.6 %","52.4 %","7.4 %","20.8 %","7.9 %","380","9776"
"Jean Segura","Diamondbacks","29.8 %","62.8 %","46.1 %","70.0 %","92.7 %","85.2 %","49.3 %","60.2 %","6.8 %","14.1 %","5.2 %","384","5933"
"Salvador Perez","Royals","43.7 %","71.4 %","55.4 %","62.9 %","90.0 %","77.7 %","42.3 %","63.3 %","12.3 %","23.4 %","4.2 %","308","7304"
"Mark Reynolds","Rockies","28.7 %","68.3 %","46.5 %","62.1 %","80.2 %","74.1 %","44.9 %","60.3 %","12.0 %","25.4 %","9.1 %","307","7619"
"C.J. Cron","Angels","35.7 %","70.4 %","51.0 %","68.1 %","88.2 %","80.3 %","44.0 %","60.6 %","10.0 %","14.3 %","5.9 %","287","12546"
"Joc Pederson","Dodgers","28.4 %","64.1 %","43.1 %","60.7 %","85.3 %","75.7 %","41.0 %","61.1 %","10.4 %","25.2 %","11.8 %","262","11899"
"Melky Cabrera","White Sox","32.9 %","68.4 %","48.0 %","79.0 %","94.3 %","88.3 %","42.6 %","52.6 %","5.6 %","10.2 %","7.2 %","333","4022"
"Martin Prado","Marlins","26.9 %","53.5 %","40.1 %","79.7 %","97.6 %","91.6 %","49.9 %","65.0 %","3.4 %","11.2 %","7.3 %","357","3312"
"Yunel Escobar","Angels","24.4 %","72.6 %","47.6 %","61.6 %","91.8 %","83.8 %","48.1 %","62.9 %","7.7 %","12.2 %","6.7 %","345","4191"
"Didi Gregorius","Yankees","35.9 %","73.4 %","52.5 %","73.2 %","92.3 %","85.1 %","44.3 %","59.9 %","7.8 %","11.0 %","3.5 %","317","6012"
"Curtis Granderson","Mets","20.7 %","56.2 %","35.9 %","59.8 %","88.5 %","79.0 %","42.8 %","55.3 %","7.5 %","21.8 %","11.2 %","358","4747"
"Mike Napoli","Indians","26.2 %","64.6 %","44.0 %","58.1 %","77.2 %","71.1 %","46.3 %","56.6 %","12.7 %","33.5 %","11.0 %","355","3057"
"Maikel Franco","Phillies","31.5 %","74.1 %","51.1 %","55.9 %","84.4 %","74.9 %","46.1 %","62.3 %","12.6 %","18.2 %","7.2 %","347","12179"
"Brian Dozier","Twins","27.7 %","61.0 %","42.6 %","72.5 %","87.5 %","82.2 %","45.0 %","59.3 %","7.6 %","15.9 %","10.3 %","359","9810"
"Adrian Gonzalez","Dodgers","29.3 %","74.4 %","47.5 %","70.1 %","87.3 %","81.0 %","40.5 %","54.6 %","8.9 %","18.1 %","11.1 %","359","1908"
"Brandon Crawford","Giants","29.9 %","79.3 %","50.9 %","58.0 %","83.6 %","74.9 %","42.6 %","54.6 %","12.5 %","18.2 %","9.8 %","346","5343"
"J.T. Realmuto","Marlins","32.3 %","64.7 %","47.5 %","71.4 %","90.0 %","83.3 %","47.0 %","59.5 %","7.9 %","16.9 %","4.3 %","301","11739"
"Zack Cozart","Reds","29.5 %","69.1 %","49.2 %","63.3 %","92.5 %","83.7 %","49.8 %","64.2 %","8.0 %","14.3 %","6.6 %","335","2616"
"Aaron Hill","- - -","21.8 %","61.7 %","42.1 %","69.1 %","92.1 %","86.3 %","50.9 %","63.5 %","5.8 %","14.8 %","9.9 %","304","6104"
"Jose Ramirez","Indians","25.9 %","62.7 %","43.2 %","84.0 %","89.3 %","87.6 %","47.1 %","58.5 %","5.3 %","11.4 %","7.3 %","316","13510"
"Travis Shaw","Red Sox","32.6 %","70.6 %","48.9 %","66.3 %","84.4 %","77.5 %","43.0 %","57.9 %","10.9 %","24.0 %","8.0 %","337","11982"
"Jayson Werth","Nationals","23.7 %","54.4 %","38.1 %","65.5 %","86.9 %","79.8 %","46.9 %","59.9 %","7.7 %","22.4 %","13.0 %","339","1327"
"Justin Turner","Dodgers","23.8 %","65.8 %","43.6 %","77.4 %","88.0 %","85.0 %","47.3 %","61.9 %","6.5 %","16.0 %","8.4 %","344","5235"
"Adrian Beltre","Rangers","35.1 %","66.1 %","49.1 %","78.5 %","87.0 %","83.7 %","45.3 %","61.8 %","8.0 %","11.5 %","6.6 %","348","639"
"Kendrys Morales","Royals","30.1 %","67.1 %","46.5 %","60.6 %","87.4 %","77.8 %","44.4 %","55.2 %","10.3 %","19.6 %","7.7 %","326","8610"
"Marcus Semien","Athletics","27.0 %","65.6 %","45.5 %","65.2 %","82.6 %","77.2 %","48.1 %","60.1 %","10.4 %","23.2 %","8.6 %","336","12533"
"Danny Espinosa","Nationals","33.8 %","68.8 %","48.9 %","54.1 %","82.2 %","71.2 %","43.1 %","54.2 %","13.8 %","25.0 %","8.7 %","332","9219"
"Elvis Andrus","Rangers","25.5 %","59.9 %","42.5 %","70.5 %","91.6 %","85.2 %","49.5 %","64.6 %","6.3 %","12.2 %","7.9 %","328","8709"
"Adam Jones","Orioles","42.7 %","81.6 %","59.4 %","61.3 %","84.4 %","74.9 %","43.0 %","66.6 %","14.9 %","17.7 %","6.5 %","368","6368"
"Rougned Odor","Rangers","40.8 %","69.3 %","53.7 %","67.2 %","86.5 %","78.5 %","45.4 %","62.9 %","11.6 %","20.1 %","2.3 %","348","12282"
"Todd Frazier","White Sox","29.8 %","65.1 %","45.1 %","61.5 %","81.1 %","73.8 %","43.4 %","58.9 %","11.8 %","23.2 %","10.9 %","367","785"
"Adam Eaton","White Sox","31.9 %","65.4 %","47.4 %","75.1 %","89.4 %","84.2 %","46.2 %","60.8 %","7.5 %","15.8 %","8.8 %","398","11205"
"Matt Holliday","Cardinals","29.6 %","73.3 %","48.3 %","65.4 %","90.0 %","81.3 %","42.7 %","61.1 %","9.0 %","16.7 %","8.5 %","329","1873"
"Jon Jay","Padres","34.3 %","70.1 %","51.2 %","64.1 %","88.3 %","79.8 %","47.2 %","64.1 %","10.4 %","21.4 %","5.5 %","290","5227"
"Troy Tulowitzki","Blue Jays","28.6 %","60.9 %","43.2 %","71.0 %","82.9 %","78.6 %","45.3 %","62.4 %","9.3 %","22.6 %","9.3 %","279","3531"
"Rajai Davis","Indians","31.1 %","71.7 %","50.1 %","57.8 %","85.7 %","76.5 %","46.7 %","63.2 %","11.8 %","22.4 %","7.2 %","304","3708"
"John Jaso","Pirates","19.8 %","64.8 %","40.2 %","75.8 %","92.3 %","87.9 %","45.3 %","56.7 %","4.9 %","14.4 %","9.3 %","291","5887"
"Joe Mauer","Twins","21.7 %","49.1 %","34.7 %","72.5 %","91.4 %","85.2 %","47.5 %","63.4 %","5.0 %","16.3 %","13.8 %","363","1857"
"Anthony Rendon","Nationals","18.9 %","63.8 %","40.7 %","74.5 %","88.8 %","85.4 %","48.5 %","61.6 %","5.9 %","20.3 %","11.6 %","370","12861"
"Jacoby Ellsbury","Yankees","24.8 %","63.7 %","42.4 %","69.2 %","94.3 %","86.2 %","45.2 %","62.4 %","5.8 %","12.2 %","8.7 %","335","4727"
"Melvin Upton Jr.","Padres","30.3 %","73.0 %","50.2 %","55.1 %","74.2 %","68.1 %","46.8 %","66.0 %","16.0 %","28.0 %","6.2 %","353","5015"
"Stephen Vogt","Athletics","32.6 %","60.7 %","45.2 %","75.4 %","93.7 %","86.4 %","44.9 %","63.4 %","6.1 %","14.6 %","5.3 %","281","5000"
"Lorenzo Cain","Royals","29.9 %","71.1 %","49.1 %","57.8 %","87.3 %","77.7 %","46.7 %","53.1 %","10.9 %","20.8 %","6.2 %","307","9077"
"Nomar Mazara","Rangers","31.3 %","61.9 %","43.7 %","70.3 %","92.2 %","82.8 %","40.5 %","57.1 %","7.5 %","15.8 %","6.5 %","336","14553"
"Neil Walker","Mets","30.4 %","69.2 %","47.2 %","67.1 %","87.9 %","80.3 %","43.2 %","55.4 %","9.2 %","20.3 %","9.2 %","325","7539"
"Brett Lawrie","White Sox","31.1 %","63.8 %","46.9 %","54.8 %","81.0 %","72.0 %","48.4 %","65.6 %","13.1 %","28.3 %","8.3 %","360","5247"
"Khris Davis","Athletics","34.4 %","76.8 %","54.6 %","48.2 %","73.7 %","65.2 %","47.5 %","62.1 %","19.0 %","26.6 %","3.4 %","327","9112"
"Brandon Drury","Diamondbacks","34.7 %","59.8 %","46.2 %","62.0 %","90.8 %","79.1 %","45.9 %","60.1 %","9.6 %","20.2 %","4.6 %","263","11615"
"Jose Abreu","White Sox","40.1 %","69.8 %","52.5 %","62.3 %","87.7 %","76.4 %","41.8 %","61.3 %","12.3 %","20.3 %","5.8 %","380","15676"
"Welington Castillo","Diamondbacks","28.0 %","61.4 %","44.3 %","58.8 %","85.0 %","76.5 %","48.8 %","56.3 %","10.3 %","26.1 %","5.7 %","261","3256"
"Asdrubal Cabrera","Mets","32.0 %","71.6 %","49.8 %","60.3 %","87.4 %","77.8 %","45.1 %","58.4 %","11.0 %","19.2 %","6.1 %","344","4962"
"Jordy Mercer","Pirates","28.2 %","61.0 %","43.2 %","71.4 %","93.1 %","85.4 %","45.8 %","62.2 %","6.2 %","14.7 %","10.9 %","341","6547"
"Chase Utley","Dodgers","21.2 %","59.4 %","39.5 %","61.5 %","89.2 %","81.5 %","48.1 %","57.8 %","7.3 %","18.7 %","8.9 %","327","1679"
"Trayce Thompson","Dodgers","23.5 %","66.5 %","42.8 %","59.6 %","86.1 %","78.1 %","45.0 %","60.7 %","9.4 %","25.2 %","9.9 %","262","9952"
"Steven Souza Jr.","Rays","28.3 %","70.5 %","48.4 %","54.3 %","73.7 %","67.8 %","47.6 %","70.0 %","15.6 %","35.4 %","6.9 %","260","5667"
"Albert Pujols","Angels","29.4 %","64.2 %","45.1 %","73.8 %","92.3 %","85.7 %","45.2 %","54.1 %","6.4 %","11.1 %","10.1 %","377","1177"
"Scooter Gennett","Brewers","35.2 %","72.0 %","51.2 %","63.5 %","86.1 %","77.3 %","43.4 %","65.4 %","11.6 %","21.9 %","8.6 %","269","10339"
"Andrew McCutchen","Pirates","25.8 %","72.5 %","48.2 %","53.2 %","82.3 %","74.2 %","47.9 %","56.8 %","12.3 %","24.7 %","8.8 %","373","9847"
"Brett Gardner","Yankees","21.0 %","55.0 %","35.8 %","75.2 %","92.1 %","86.5 %","43.6 %","53.6 %","4.8 %","18.0 %","11.6 %","345","9927"
"Colby Rasmus","Astros","29.4 %","70.8 %","47.4 %","43.0 %","80.3 %","67.3 %","43.6 %","65.7 %","15.5 %","29.2 %","10.9 %","312","9893"
"Brad Miller","Rays","30.6 %","71.7 %","49.4 %","69.2 %","84.1 %","79.1 %","45.7 %","60.6 %","10.3 %","22.1 %","6.4 %","312","12775"
"Addison Russell","Cubs","28.8 %","72.2 %","48.5 %","58.5 %","78.1 %","71.7 %","45.3 %","63.2 %","13.5 %","24.6 %","11.1 %","334","14106"
"Yasmany Tomas","Diamondbacks","41.0 %","77.2 %","56.4 %","57.5 %","80.5 %","70.8 %","42.4 %","69.8 %","16.3 %","24.9 %","5.9 %","305","17171"
"Joe Panik","Giants","22.1 %","65.3 %","41.8 %","77.5 %","94.7 %","89.8 %","45.6 %","57.9 %","4.3 %","10.2 %","8.6 %","304","11936"
"Peter Bourjos","Phillies","37.3 %","72.6 %","53.6 %","56.3 %","83.9 %","73.5 %","46.0 %","68.0 %","14.1 %","23.4 %","4.7 %","256","2578"
"Leonys Martin","Mariners","30.6 %","66.7 %","47.1 %","55.3 %","81.8 %","72.5 %","45.8 %","65.0 %","13.0 %","27.6 %","8.7 %","286","11846"
"Chase Headley","Yankees","25.9 %","65.2 %","43.0 %","57.8 %","87.1 %","77.1 %","43.4 %","59.8 %","9.8 %","22.9 %","9.6 %","301","4720"
"Yasiel Puig","Dodgers","32.5 %","77.5 %","53.0 %","54.9 %","82.7 %","73.4 %","45.5 %","63.7 %","14.1 %","19.6 %","6.3 %","270","14225"
"Corey Dickerson","Rays","40.8 %","76.2 %","55.1 %","65.9 %","76.3 %","71.7 %","40.6 %","61.9 %","15.4 %","25.6 %","7.0 %","273","10762"
"Joey Rickard","Orioles","26.6 %","55.3 %","40.8 %","75.2 %","90.7 %","85.6 %","49.6 %","64.2 %","5.9 %","19.6 %","6.8 %","265","13277"
"Coco Crisp","Athletics","25.6 %","62.6 %","43.2 %","66.2 %","90.7 %","83.1 %","47.7 %","64.8 %","7.3 %","14.1 %","8.2 %","304","1572"
"Cesar Hernandez","Phillies","26.1 %","70.5 %","48.3 %","56.9 %","88.9 %","80.2 %","49.9 %","60.0 %","9.5 %","19.0 %","5.5 %","310","10556"
"Eugenio Suarez","Reds","28.4 %","65.0 %","45.1 %","59.6 %","83.2 %","75.1 %","45.6 %","59.9 %","11.2 %","26.3 %","7.3 %","342","12552"
"Jed Lowrie","Athletics","24.2 %","71.5 %","45.8 %","75.0 %","90.5 %","86.1 %","45.7 %","56.0 %","6.4 %","16.1 %","7.4 %","298","4418"
"Nick Markakis","Braves","24.7 %","66.0 %","42.9 %","80.2 %","90.8 %","87.4 %","43.9 %","56.7 %","5.4 %","15.0 %","10.0 %","381","5930"
"Matt Kemp","Padres","41.5 %","73.9 %","55.7 %","58.6 %","83.0 %","72.8 %","43.9 %","63.4 %","15.0 %","22.7 %","3.5 %","374","5631"
"Logan Morrison","Rays","28.5 %","71.6 %","46.4 %","60.9 %","87.7 %","78.1 %","41.4 %","59.0 %","10.2 %","21.5 %","9.1 %","307","9205"
"Kevin Pillar","Blue Jays","35.8 %","62.3 %","48.7 %","68.3 %","91.0 %","82.4 %","48.4 %","65.9 %","8.6 %","16.4 %","2.7 %","366","12434"
"Mitch Moreland","Rangers","33.9 %","73.4 %","49.5 %","58.6 %","81.5 %","72.1 %","39.7 %","53.1 %","13.7 %","25.3 %","7.9 %","277","3086"
"Jason Heyward","Cubs","25.4 %","60.5 %","41.5 %","75.0 %","89.7 %","84.8 %","45.9 %","55.3 %","6.3 %","17.7 %","10.5 %","351","4940"
