"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"David Ortiz","Red Sox","28.7 %","72.0 %","45.0 %","70.3 %","91.0 %","82.8 %","37.8 %","53.6 %","7.6 %","12.5 %","14.0 %","343","745"
"Josh Donaldson","Blue Jays","24.5 %","68.2 %","42.9 %","61.7 %","84.3 %","76.8 %","42.0 %","57.3 %","9.9 %","16.8 %","15.3 %","405","5038"
"Anthony Rizzo","Cubs","27.5 %","62.6 %","42.5 %","68.3 %","90.3 %","82.1 %","42.5 %","57.4 %","7.5 %","14.5 %","13.4 %","373","3473"
"Mike Trout","Angels","23.7 %","60.1 %","39.9 %","75.1 %","86.3 %","82.6 %","44.6 %","56.2 %","6.9 %","18.4 %","15.0 %","386","10155"
"Matt Carpenter","Cardinals","20.8 %","57.2 %","37.4 %","66.9 %","92.8 %","84.9 %","45.4 %","57.0 %","5.6 %","17.4 %","16.5 %","351","8090"
"Daniel Murphy","Nationals","34.5 %","63.1 %","47.1 %","77.8 %","95.0 %","88.0 %","43.9 %","56.9 %","5.6 %","10.5 %","5.0 %","362","4316"
"Jake Lamb","Diamondbacks","25.7 %","66.0 %","43.5 %","49.5 %","86.5 %","74.3 %","44.3 %","53.5 %","11.1 %","24.6 %","10.6 %","329","13329"
"Kris Bryant","Cubs","28.3 %","75.7 %","48.6 %","54.6 %","80.2 %","71.7 %","42.9 %","58.4 %","13.7 %","22.6 %","11.4 %","385","15429"
"Jose Altuve","Astros","29.8 %","68.8 %","46.7 %","78.8 %","91.0 %","86.6 %","43.3 %","59.3 %","6.1 %","9.1 %","10.1 %","405","5417"
"Yoenis Cespedes","Mets","34.9 %","64.4 %","47.2 %","63.9 %","86.5 %","76.7 %","41.7 %","59.4 %","10.9 %","23.8 %","9.6 %","323","13110"
"Brandon Belt","Giants","24.1 %","81.1 %","48.0 %","57.4 %","86.0 %","77.7 %","42.0 %","53.6 %","10.6 %","18.4 %","14.8 %","364","10264"
"Paul Goldschmidt","Diamondbacks","22.5 %","59.0 %","37.8 %","70.8 %","86.5 %","81.1 %","42.0 %","57.4 %","7.1 %","22.3 %","16.2 %","394","9218"
"Manny Machado","Orioles","31.8 %","73.6 %","50.6 %","66.1 %","85.9 %","79.1 %","45.0 %","61.2 %","10.4 %","17.3 %","8.0 %","376","11493"
"Michael Saunders","Blue Jays","24.8 %","68.4 %","44.4 %","51.5 %","86.7 %","75.9 %","45.0 %","54.1 %","10.7 %","26.7 %","9.3 %","344","9981"
"Wilson Ramos","Nationals","29.9 %","73.0 %","50.2 %","71.0 %","89.2 %","83.4 %","47.0 %","60.1 %","8.3 %","13.0 %","7.8 %","293","1433"
"Robinson Cano","Mariners","34.5 %","70.7 %","49.3 %","71.4 %","93.7 %","84.5 %","40.9 %","58.9 %","7.6 %","14.1 %","7.1 %","397","3269"
"Jackie Bradley Jr.","Red Sox","28.0 %","66.4 %","45.4 %","60.8 %","84.9 %","76.8 %","45.3 %","61.1 %","10.4 %","20.3 %","10.2 %","344","12984"
"Carlos Gonzalez","Rockies","38.5 %","74.0 %","52.5 %","58.1 %","81.0 %","70.8 %","39.4 %","60.8 %","15.2 %","21.8 %","7.2 %","362","7287"
"Nolan Arenado","Rockies","33.5 %","67.7 %","48.3 %","71.3 %","92.5 %","84.1 %","43.1 %","60.2 %","7.6 %","13.5 %","9.9 %","384","9777"
"Mark Trumbo","Orioles","33.7 %","70.2 %","50.1 %","50.7 %","82.1 %","70.5 %","45.0 %","65.9 %","14.7 %","26.4 %","6.9 %","375","6876"
"Aledmys Diaz","Cardinals","27.7 %","65.8 %","44.7 %","73.3 %","92.3 %","85.8 %","44.7 %","57.8 %","6.3 %","12.9 %","8.4 %","334","15937"
"Nelson Cruz","Mariners","29.3 %","71.2 %","47.8 %","51.6 %","83.5 %","72.6 %","44.2 %","56.8 %","13.0 %","24.9 %","10.1 %","377","2434"
"Ian Desmond","Rangers","28.5 %","65.8 %","46.5 %","50.9 %","81.1 %","71.6 %","48.3 %","64.1 %","13.2 %","24.5 %","7.3 %","384","6885"
"Dexter Fowler","Cubs","19.8 %","63.5 %","39.3 %","58.5 %","86.5 %","78.7 %","44.6 %","58.8 %","8.4 %","21.5 %","12.3 %","284","4062"
"DJ LeMahieu","Rockies","25.8 %","61.7 %","43.6 %","81.5 %","95.3 %","91.2 %","49.5 %","60.7 %","3.8 %","13.6 %","9.2 %","338","9874"
"Brandon Moss","Cardinals","31.4 %","72.6 %","49.0 %","45.2 %","81.1 %","68.0 %","42.9 %","60.8 %","15.6 %","30.0 %","9.6 %","250","4467"
"Edwin Encarnacion","Blue Jays","21.8 %","68.3 %","42.7 %","63.1 %","86.0 %","79.6 %","45.0 %","56.1 %","8.7 %","19.6 %","11.6 %","387","2151"
"Christian Yelich","Marlins","19.7 %","62.7 %","38.6 %","58.4 %","89.0 %","80.3 %","44.0 %","53.6 %","7.6 %","20.5 %","11.0 %","347","11477"
"Marcell Ozuna","Marlins","33.3 %","65.1 %","47.0 %","57.1 %","86.9 %","74.8 %","43.1 %","62.0 %","11.8 %","20.7 %","7.6 %","353","10324"
"Kyle Seager","Mariners","25.5 %","67.0 %","44.3 %","73.6 %","87.3 %","83.0 %","45.1 %","55.8 %","7.4 %","15.1 %","10.1 %","378","9785"
"Xander Bogaerts","Red Sox","31.9 %","60.4 %","44.9 %","70.9 %","90.1 %","82.7 %","45.7 %","61.4 %","7.8 %","14.7 %","8.6 %","394","12161"
"Carlos Beltran","Yankees","30.0 %","65.9 %","46.1 %","68.6 %","90.7 %","82.7 %","44.7 %","57.8 %","7.9 %","18.4 %","5.3 %","320","589"
"Ryan Braun","Brewers","35.9 %","75.3 %","53.2 %","69.2 %","90.4 %","82.4 %","44.0 %","61.4 %","9.2 %","16.6 %","7.1 %","308","3410"
"Charlie Blackmon","Rockies","31.7 %","59.6 %","44.0 %","75.6 %","92.1 %","85.4 %","44.1 %","54.5 %","6.4 %","14.6 %","7.7 %","336","7859"
"Freddie Freeman","Braves","34.4 %","81.6 %","53.9 %","59.6 %","79.0 %","71.7 %","41.3 %","59.6 %","14.8 %","25.2 %","10.8 %","381","5361"
"Corey Seager","Dodgers","30.5 %","77.7 %","51.4 %","58.4 %","89.0 %","78.9 %","44.3 %","60.4 %","10.7 %","20.1 %","8.5 %","389","13624"
"J.D. Martinez","Tigers","32.1 %","75.4 %","51.9 %","52.1 %","84.3 %","73.5 %","45.6 %","59.0 %","13.7 %","24.2 %","9.5 %","285","6184"
"Bryce Harper","Nationals","27.7 %","68.2 %","43.5 %","68.2 %","87.3 %","79.9 %","39.0 %","51.9 %","8.4 %","15.8 %","19.0 %","368","11579"
"Wil Myers","Padres","24.9 %","62.2 %","41.4 %","68.5 %","87.0 %","80.8 %","44.2 %","58.1 %","8.0 %","20.6 %","9.5 %","379","10047"
"Ben Zobrist","Cubs","21.4 %","56.3 %","36.5 %","75.8 %","92.7 %","87.1 %","43.2 %","55.8 %","4.7 %","13.3 %","14.4 %","362","7435"
"Miguel Cabrera","Tigers","32.2 %","72.8 %","49.5 %","68.5 %","84.8 %","78.7 %","42.7 %","59.3 %","10.4 %","17.1 %","10.8 %","381","1744"
"Nicholas Castellanos","Tigers","36.6 %","72.1 %","53.1 %","54.6 %","85.8 %","74.2 %","46.4 %","63.8 %","13.7 %","24.3 %","5.6 %","354","11737"
"Mookie Betts","Red Sox","24.5 %","58.3 %","41.2 %","67.0 %","95.5 %","86.9 %","49.4 %","62.2 %","5.4 %","13.3 %","5.8 %","413","13611"
"Stephen Piscotty","Cardinals","31.4 %","73.6 %","50.5 %","61.6 %","86.0 %","77.7 %","45.2 %","59.9 %","11.3 %","17.4 %","9.0 %","357","13367"
"Victor Martinez","Tigers","30.7 %","65.7 %","46.1 %","74.9 %","91.7 %","85.4 %","43.9 %","57.3 %","6.7 %","14.2 %","6.5 %","337","393"
"Trevor Story","Rockies","29.1 %","65.9 %","46.6 %","56.8 %","79.8 %","72.3 %","47.5 %","59.9 %","12.8 %","32.2 %","8.2 %","354","12564"
"David Freese","Pirates","26.6 %","66.7 %","45.0 %","57.9 %","82.7 %","74.8 %","45.9 %","55.1 %","11.3 %","26.8 %","9.4 %","287","9549"
"Derek Dietrich","Marlins","31.5 %","66.1 %","46.4 %","69.0 %","91.3 %","82.7 %","43.2 %","57.5 %","8.0 %","17.9 %","7.7 %","273","10542"
"Danny Valencia","Athletics","29.4 %","63.8 %","45.3 %","49.4 %","85.4 %","72.8 %","46.1 %","59.6 %","12.3 %","21.1 %","6.9 %","275","6364"
"Carlos Santana","Indians","18.2 %","62.5 %","38.3 %","62.9 %","88.2 %","81.7 %","45.4 %","52.9 %","7.0 %","14.1 %","13.1 %","382","2396"
"Gregory Polanco","Pirates","31.1 %","69.4 %","45.8 %","67.9 %","91.4 %","81.5 %","38.3 %","50.6 %","8.4 %","20.6 %","11.0 %","344","12907"
"Jonathan Lucroy","Brewers","29.2 %","57.6 %","42.8 %","69.2 %","89.1 %","82.0 %","47.8 %","59.9 %","7.6 %","17.9 %","8.3 %","324","7870"
"Evan Longoria","Rays","33.0 %","69.3 %","49.2 %","62.2 %","81.5 %","74.3 %","44.6 %","59.6 %","12.5 %","22.1 %","6.7 %","371","9368"
"Jonathan Schoop","Orioles","40.7 %","82.3 %","60.5 %","55.2 %","82.7 %","73.0 %","47.5 %","67.6 %","16.3 %","20.2 %","3.8 %","346","11265"
"George Springer","Astros","27.7 %","73.3 %","47.7 %","60.2 %","80.5 %","73.8 %","43.8 %","61.1 %","12.4 %","22.2 %","11.7 %","409","12856"
"Luis Valbuena","Astros","23.1 %","69.0 %","43.2 %","63.3 %","83.2 %","77.2 %","43.9 %","58.9 %","9.8 %","24.9 %","12.8 %","297","4969"
"Chris Davis","Orioles","27.8 %","64.0 %","42.9 %","49.0 %","76.0 %","65.8 %","41.6 %","59.1 %","14.6 %","32.6 %","13.4 %","374","9272"
"Ian Kinsler","Tigers","27.6 %","65.2 %","46.0 %","69.7 %","90.9 %","84.4 %","49.0 %","61.1 %","7.2 %","17.9 %","6.6 %","391","6195"
"Joey Votto","Reds","19.1 %","64.1 %","39.6 %","69.4 %","82.0 %","78.7 %","45.6 %","58.1 %","8.3 %","24.2 %","16.8 %","363","4314"
"Eduardo Nunez","Twins","34.4 %","66.3 %","49.7 %","76.1 %","90.9 %","85.6 %","48.1 %","63.7 %","7.2 %","12.2 %","3.6 %","336","6848"
"Eric Hosmer","Royals","31.0 %","70.0 %","48.0 %","57.4 %","87.1 %","76.3 %","43.6 %","55.5 %","11.4 %","19.7 %","7.9 %","366","3516"
"Buster Posey","Giants","29.0 %","68.5 %","47.2 %","74.9 %","89.4 %","84.6 %","46.1 %","56.8 %","7.1 %","11.5 %","10.3 %","331","9166"
"Jay Bruce","Reds","30.6 %","75.4 %","50.5 %","63.4 %","86.6 %","78.8 %","44.4 %","58.9 %","10.6 %","20.1 %","6.1 %","343","9892"
"Seth Smith","Mariners","23.4 %","61.7 %","40.2 %","61.2 %","89.1 %","80.0 %","43.9 %","52.6 %","8.0 %","19.4 %","10.8 %","268","7331"
"Logan Forsythe","Rays","21.0 %","60.3 %","40.7 %","65.4 %","84.7 %","79.8 %","50.1 %","64.0 %","8.2 %","21.3 %","7.8 %","258","7185"
"Starling Marte","Pirates","38.1 %","74.4 %","53.5 %","61.7 %","87.4 %","76.8 %","42.3 %","56.9 %","12.3 %","20.5 %","3.6 %","336","9241"
"Miguel Sano","Twins","22.2 %","59.6 %","38.9 %","45.2 %","78.4 %","67.8 %","44.5 %","57.6 %","12.5 %","33.1 %","14.0 %","257","12164"
"Jose Bautista","Blue Jays","17.7 %","62.5 %","36.7 %","60.5 %","91.4 %","82.9 %","42.6 %","54.2 %","6.3 %","17.1 %","16.8 %","286","1887"
"Francisco Lindor","Indians","26.4 %","68.2 %","45.5 %","66.2 %","90.5 %","82.8 %","45.7 %","57.3 %","7.8 %","13.1 %","8.6 %","382","12916"
"Dustin Pedroia","Red Sox","24.9 %","60.7 %","42.6 %","77.6 %","92.8 %","88.3 %","49.5 %","56.1 %","5.0 %","11.9 %","9.3 %","387","8370"
"Jonathan Villar","Brewers","23.5 %","64.7 %","42.8 %","59.1 %","84.1 %","76.8 %","46.8 %","59.6 %","9.9 %","26.8 %","11.7 %","369","10071"
"Carlos Correa","Astros","28.5 %","63.4 %","43.9 %","62.9 %","85.1 %","77.0 %","44.0 %","60.1 %","10.1 %","22.3 %","11.7 %","376","14162"
"Odubel Herrera","Phillies","33.0 %","68.7 %","48.5 %","68.5 %","85.8 %","79.2 %","43.5 %","60.1 %","10.0 %","18.3 %","11.6 %","378","11476"
"Giancarlo Stanton","Marlins","29.7 %","65.6 %","44.7 %","38.9 %","79.8 %","64.0 %","41.7 %","57.9 %","16.0 %","33.3 %","11.8 %","321","4949"
"Adam Duvall","Reds","36.5 %","68.3 %","50.8 %","54.6 %","85.9 %","73.5 %","45.0 %","67.3 %","13.5 %","29.0 %","4.9 %","324","10950"
"Chris Carter","Brewers","24.3 %","68.5 %","43.9 %","41.1 %","76.2 %","65.4 %","44.3 %","54.9 %","15.2 %","32.6 %","10.5 %","344","9911"
"Kole Calhoun","Angels","30.0 %","76.7 %","50.2 %","56.8 %","85.9 %","76.0 %","43.3 %","60.4 %","12.0 %","17.3 %","9.7 %","381","11200"
"Brian McCann","Yankees","26.6 %","61.1 %","41.1 %","71.4 %","90.5 %","83.3 %","42.0 %","52.9 %","6.8 %","19.7 %","11.7 %","274","4810"
