GameDate,start_date,end_date
2017-09-04,2017-09-04,2017-09-04
2017-09-05,2017-09-05,2017-09-05
2017-09-06,2017-09-06,2017-09-06
2017-09-07,2017-09-07,2017-09-07
2017-09-08,2017-09-08,2017-09-08
2017-09-09,2017-09-09,2017-09-09
2017-09-10,2017-09-10,2017-09-10
2017-09-11,2017-09-11,2017-09-11
2017-09-12,2017-09-12,2017-09-12
2017-09-13,2017-09-13,2017-09-13
2017-09-14,2017-09-14,2017-09-14
2017-09-15,2017-09-15,2017-09-15
2017-09-16,2017-09-16,2017-09-16
2017-09-17,2017-09-17,2017-09-17
2017-09-18,2017-09-18,2017-09-18
2017-09-19,2017-09-19,2017-09-19
2017-09-20,2017-09-20,2017-09-20
2017-09-21,2017-09-21,2017-09-21
2017-09-22,2017-09-22,2017-09-22
2017-09-23,2017-09-23,2017-09-23
2017-09-24,2017-09-24,2017-09-24
2017-09-25,2017-09-25,2017-09-25
2017-09-26,2017-09-26,2017-09-26
2017-09-27,2017-09-27,2017-09-27
2017-09-28,2017-09-28,2017-09-28
2017-09-29,2017-09-29,2017-09-29
2017-09-30,2017-09-30,2017-09-30
2017-10-01,2017-10-01,2017-10-01
2018-03-29,2018-03-29,2018-03-29
2018-03-30,2018-03-30,2018-03-30
2018-03-31,2018-03-31,2018-03-31
2018-04-01,2018-04-01,2018-04-01
2018-04-02,2018-04-02,2018-04-02
2018-04-03,2018-04-03,2018-04-03
2018-04-04,2018-04-04,2018-04-04
2018-04-05,2018-04-05,2018-04-05
2018-04-06,2018-04-06,2018-04-06
2018-04-07,2018-04-07,2018-04-07
2018-04-08,2018-04-08,2018-04-08
2018-04-09,2018-04-09,2018-04-09
2018-04-10,2018-04-10,2018-04-10
2018-04-11,2018-04-11,2018-04-11
2018-04-12,2018-04-12,2018-04-12
2018-04-13,2018-04-13,2018-04-13
2018-04-14,2018-04-14,2018-04-14
2018-04-15,2018-04-15,2018-04-15
2018-04-16,2018-04-16,2018-04-16
2018-04-17,2018-04-17,2018-04-17
2018-04-18,2018-04-18,2018-04-18
2018-04-19,2018-04-19,2018-04-19
2018-04-20,2018-04-20,2018-04-20
2018-04-21,2018-04-21,2018-04-21
2018-04-22,2018-04-22,2018-04-22
2018-04-23,2018-04-23,2018-04-23
2018-04-24,2018-04-24,2018-04-24
2018-04-25,2018-04-25,2018-04-25
2018-04-26,2018-04-26,2018-04-26
2018-04-27,2018-04-27,2018-04-27
2018-04-28,2018-04-28,2018-04-28
2018-04-29,2018-04-29,2018-04-29
2018-04-30,2018-04-30,2018-04-30
2018-05-01,2018-05-01,2018-05-01
2018-05-02,2018-05-02,2018-05-02
2018-05-03,2018-05-03,2018-05-03
2018-05-04,2018-05-04,2018-05-04
2018-05-05,2018-05-05,2018-05-05
2018-05-06,2018-05-06,2018-05-06
2018-05-07,2018-05-07,2018-05-07
2018-05-08,2018-05-08,2018-05-08
2018-05-09,2018-05-09,2018-05-09
2018-05-10,2018-05-10,2018-05-10
2018-05-11,2018-05-11,2018-05-11
2018-05-12,2018-05-12,2018-05-12
2018-05-13,2018-05-13,2018-05-13
2018-05-14,2018-05-14,2018-05-14
2018-05-15,2018-05-15,2018-05-15
2018-05-16,2018-05-16,2018-05-16
2018-05-17,2018-05-17,2018-05-17
2018-05-18,2018-05-18,2018-05-18
2018-05-19,2018-05-19,2018-05-19
2018-05-20,2018-05-20,2018-05-20
2018-05-21,2018-05-21,2018-05-21
2018-05-22,2018-05-22,2018-05-22
2018-05-23,2018-05-23,2018-05-23
2018-05-24,2018-05-24,2018-05-24
