catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Cameron Rupp,519237,143,28,86.7,0.78,38,1.98,1.98,1.98,2,1.65,-.--,1.65
Juan Centeno,518542,142,27,81.3,0.73,7,1.99,1.99,1.99,2,1.52,-.--,1.52
Mike Zunino,572287,136,25,83.4,0.73,15,1.98,1.99,1.98,1,1.57,1.57,-.--
Russell Martin,431145,141,33,84.0,0.78,30,2.02,1.99,2.03,5,1.55,1.53,1.58
Anthony Recker,489232,144,33,84.9,0.76,22,1.97,1.99,1.97,3,1.54,-.--,1.54
Eric Fryer,518700,134,31,81.3,0.76,13,2.04,1.99,2.07,2,1.56,-.--,1.56
Matt Wieters,446308,110,30,81.4,0.71,41,1.99,1.99,1.99,1,1.70,-.--,1.70
Erik Kratz,456124,134,36,84.9,0.81,8,2.01,2.00,2.04,0,-.--,-.--,-.--
Chris Herrmann,543302,109,29,83.4,0.77,9,2.01,2.00,2.04,2,1.49,1.54,1.44
Kevan Smith,607345,145,28,,0.72,1,2.00,2.00,-.--,0,-.--,-.--,-.--
James McCann,543510,116,26,83.5,0.73,43,2.01,2.00,2.01,2,1.51,-.--,1.51
Dioner Navarro,425900,141,32,81.0,0.73,29,2.03,2.00,2.04,0,-.--,-.--,-.--
Tucker Barnhart,571466,113,25,79.7,0.69,49,2.01,2.01,2.01,6,1.59,1.58,1.60
Tony Wolters,547172,115,24,80.2,0.68,15,1.99,2.01,1.97,4,1.53,1.49,1.55
Yasmani Grandal,518735,119,28,84.8,0.77,30,2.01,2.01,2.02,6,1.65,1.76,1.63
Jonathan Lucroy,518960,140,30,81.1,0.73,58,2.01,2.01,2.01,6,1.61,1.55,1.71
Manny Pina,444489,158,29,84.7,0.72,10,1.98,2.01,1.95,1,1.59,-.--,1.59
Jose Lobaton,446653,120,32,82.7,0.79,6,2.00,2.01,2.00,2,1.64,1.64,-.--
Alberto Rosario,451705,138,29,,0.76,6,1.96,2.01,1.93,2,1.63,1.57,1.68
Alex Avila,488671,145,29,80.4,0.72,16,2.01,2.01,2.00,4,1.57,1.57,1.57
Jason Castro,488771,117,29,84.2,0.77,36,2.04,2.02,2.05,4,1.54,1.48,1.56
Buster Posey,457763,137,29,83.3,0.76,36,2.03,2.02,2.04,6,1.62,1.54,1.66
Devin Mesoraco,519023,113,28,82.1,0.76,8,2.00,2.02,2.00,0,-.--,-.--,-.--
Nick Hundley,460026,115,33,80.9,0.75,23,2.00,2.03,1.99,8,1.63,1.54,1.66
Derek Norris,519083,135,27,79.1,0.70,46,2.03,2.03,2.03,8,1.59,1.63,1.56
Rene Rivera,425784,121,33,81.4,0.69,27,1.99,2.03,1.96,7,1.56,1.50,1.59
Omar Narvaez,553882,145,24,80.1,0.75,10,2.07,2.03,2.07,1,2.01,-.--,2.01
Tom Murphy,608596,115,25,87.9,0.85,6,2.03,2.04,2.02,0,-.--,-.--,-.--
Miguel Montero,471083,112,33,80.6,0.77,18,2.06,2.04,2.06,3,1.69,-.--,1.69
Evan Gattis,594828,117,30,86.6,0.82,9,2.02,2.04,1.91,3,1.60,1.58,1.66
Jett Bandy,542908,108,26,83.5,0.76,29,2.02,2.04,2.00,2,1.57,1.56,1.59
Brian McCann,435263,147,32,79.4,0.73,34,2.04,2.04,2.03,1,1.53,1.53,-.--
Bobby Wilson,435064,139,33,77.4,0.71,28,2.05,2.04,2.05,1,1.53,-.--,1.53
Francisco Cervelli,465041,134,30,80.1,0.73,34,2.02,2.05,2.01,7,1.61,1.63,1.60
Adam Moore,446192,114,32,83.9,0.81,3,2.07,2.05,2.10,0,-.--,-.--,-.--
Curt Casali,592200,139,28,80.0,0.73,20,2.05,2.05,2.05,3,1.61,-.--,1.61
Chris Iannetta,455104,136,33,81.9,0.77,43,2.05,2.05,2.06,2,1.66,1.68,1.63
Wilson Ramos,467092,120,29,82.2,0.76,21,2.04,2.05,2.03,4,1.56,1.61,1.54
Christian Vazquez,543877,111,26,81.1,0.68,16,2.00,2.06,1.96,3,1.51,1.58,1.47
Chris Gimenez,460269,114,34,78.8,0.76,11,2.05,2.06,2.05,0,-.--,-.--,-.--
Tuffy Gosewisch,488912,109,33,79.9,0.74,8,2.07,2.07,2.06,0,-.--,-.--,-.--
Andrew Susac,572180,158,26,79.7,0.81,2,2.07,2.07,-.--,0,-.--,-.--,-.--
Travis d'Arnaud,518595,121,27,82.9,0.80,34,2.06,2.07,2.06,5,1.61,1.54,1.63
Jeff Mathis,425772,146,33,79.2,0.75,17,2.08,2.07,2.08,3,1.61,-.--,1.61
Ryan Hanigan,452672,111,36,79.7,0.72,14,2.07,2.08,2.07,3,1.64,1.62,1.65
Josh Thole,489365,141,30,78.1,0.79,10,2.16,2.09,2.19,1,1.63,-.--,1.63
Carlos Ruiz,434563,119,37,80.3,0.79,20,2.09,2.09,2.08,3,1.63,1.63,1.63
Brett Nicholas,592592,140,28,76.5,0.78,2,2.10,2.09,2.11,1,1.70,-.--,1.70
John Ryan Murphy,571974,142,25,81.6,0.77,8,2.06,2.09,2.02,1,1.59,-.--,1.59
Geovany Soto,434567,108,33,76.4,0.70,18,2.08,2.09,2.08,2,1.63,-.--,1.63
Steve Clevenger,502182,136,30,80.7,0.80,10,2.08,2.09,2.08,0,-.--,-.--,-.--
A.J. Pierzynski,150229,144,40,77.9,0.77,29,2.09,2.10,2.09,4,1.64,1.65,1.60
Kurt Suzuki,435559,142,33,81.3,0.84,27,2.11,2.10,2.11,5,1.63,1.61,1.65
Jarrod Saltalamacchia,457454,116,31,81.8,0.78,12,2.08,2.11,2.05,3,1.58,-.--,1.58
Ramon Cabrera,541608,113,27,79.5,0.79,15,2.07,2.11,2.07,4,1.64,1.58,1.66
Kevin Plawecki,608700,121,25,77.9,0.75,21,2.09,2.11,2.08,1,1.67,-.--,1.67
A.J. Ellis,454560,143,35,77.8,0.73,22,2.09,2.11,2.09,1,1.53,-.--,1.53
Robinson Chirinos,455139,140,32,80.6,0.81,14,2.08,2.11,2.06,1,1.71,-.--,1.71
Stephen Vogt,519390,133,32,76.1,0.71,29,2.10,2.11,2.09,2,1.66,-.--,1.66
Hank Conger,474233,139,28,78.4,0.80,18,2.16,2.11,2.18,0,-.--,-.--,-.--
Austin Romine,519222,147,28,82.7,0.82,6,2.08,2.13,2.02,1,1.81,-.--,1.81
Tyler Flowers,452095,144,30,77.1,0.74,34,2.13,2.16,2.12,6,1.67,-.--,1.67
Matt McBride,473724,133,31,77.6,0.79,4,2.22,-.--,2.22,0,-.--,-.--,-.--
Brayan Pena,430910,138,34,78.2,0.80,3,2.23,-.--,2.23,0,-.--,-.--,-.--
Blake Swihart,596119,111,24,86.1,0.77,2,1.90,-.--,1.90,1,1.48,1.48,-.--
Tim Federowicz,543148,112,29,80.7,0.79,3,2.12,-.--,2.12,0,-.--,-.--,-.--
Jesus Sucre,491696,136,28,81.6,0.80,1,1.99,-.--,1.99,2,1.65,-.--,1.65
Max Stassi,545358,117,25,80.3,0.72,3,2.04,-.--,2.04,0,-.--,-.--,-.--
Bruce Maxwell,622194,133,26,79.0,0.68,6,2.10,-.--,2.10,0,-.--,-.--,-.--
Josh Phegley,572033,133,28,,0.75,2,2.00,-.--,2.00,0,-.--,-.--,-.--
Austin Barnes,605131,119,27,76.7,0.82,2,2.15,-.--,2.15,0,-.--,-.--,-.--
Hector Sanchez,516949,135,27,81.2,0.78,2,2.06,-.--,2.06,1,1.60,1.60,-.--
