catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Austin Hedges,595978,135,24,87.2,0.71,3,1.87,1.87,1.86,0,-.--,-.--,-.--
Chris Stewart,455755,134,34,78.8,0.69,4,1.90,1.87,1.91,2,1.48,1.52,1.45
Gary Sanchez,596142,147,24,88.2,0.71,20,1.90,1.90,1.90,0,-.--,-.--,-.--
Juan Graterol,492802,108,27,83.4,0.80,1,1.92,1.92,-.--,0,-.--,-.--,-.--
J.T. Realmuto,592663,146,25,87.0,0.71,33,1.91,1.92,1.90,2,1.48,-.--,1.48
Salvador Perez,521692,118,26,83.9,0.67,48,1.94,1.93,1.94,2,1.51,1.52,1.51
Welington Castillo,456078,109,29,82.7,0.67,25,1.92,1.93,1.90,8,1.57,1.54,1.62
Martin Maldonado,455117,158,30,87.2,0.70,22,1.91,1.93,1.89,4,1.61,1.60,1.61
Bryan Holaday,592407,111,29,82.8,0.73,9,1.94,1.93,1.95,1,1.65,1.65,-.--
Pedro Severino,600474,120,23,85.1,0.73,4,1.93,1.93,1.94,1,1.54,1.54,-.--
Christian Bethancourt,542194,135,25,88.8,0.78,11,1.91,1.94,1.89,1,1.61,1.61,-.--
Yadier Molina,425877,138,34,83.6,0.70,38,1.96,1.94,1.97,8,1.62,1.58,1.63
Dustin Garneau,572863,115,29,80.1,0.70,8,1.96,1.94,1.97,1,1.75,-.--,1.75
Yan Gomes,543228,114,29,80.5,0.69,17,1.95,1.95,1.95,1,1.65,1.65,-.--
David Ross,424325,112,39,80.0,0.65,27,1.95,1.96,1.94,4,1.52,1.46,1.53
Carlos Perez,542208,108,26,81.7,0.67,36,1.94,1.96,1.92,0,-.--,-.--,-.--
Willson Contreras,575929,112,24,86.0,0.73,19,1.96,1.96,1.96,3,1.60,-.--,1.60
Roberto Perez,547379,114,28,82.9,0.71,14,1.96,1.96,1.96,0,-.--,-.--,-.--
Caleb Joseph,543376,110,30,79.8,0.69,19,1.99,1.97,1.99,1,1.73,1.73,-.--
Drew Butera,460077,118,33,89.0,0.76,13,1.96,1.97,1.96,1,1.53,-.--,1.53
Luke Maile,571912,139,25,84.1,0.70,12,1.96,1.98,1.95,1,1.62,-.--,1.62
Sandy Leon,506702,111,27,81.7,0.70,15,1.95,1.98,1.91,4,1.50,1.56,1.45
Trevor Brown,623143,137,25,83.0,0.73,14,2.01,1.98,2.03,3,1.62,-.--,1.62
Francisco Pena,506747,110,27,84.4,0.75,5,1.97,1.98,1.95,0,-.--,-.--,-.--
