catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Pedro Severino,600474,120,24,84.5,0.85,1,1.86,1.86,-.--,1,1.77,1.77,-.--
Chris Stewart,455755,134,35,79.7,0.64,18,1.94,1.89,1.97,3,1.54,-.--,1.54
Luis Torrens,620443,135,21,81.3,0.72,7,1.98,1.90,1.99,1,1.51,-.--,1.51
Salvador Perez,521692,118,27,82.5,0.64,39,1.95,1.91,1.97,3,1.71,1.93,1.61
Willson Contreras,575929,112,25,87.0,0.73,35,1.95,1.92,1.97,8,1.60,1.62,1.59
Austin Hedges,595978,135,25,85.7,0.72,26,1.89,1.92,1.88,7,1.60,1.46,1.65
J.T. Realmuto,592663,146,26,87.3,0.68,35,1.90,1.92,1.88,5,1.47,1.48,1.44
Yan Gomes,543228,114,30,81.2,0.65,29,1.95,1.93,1.98,1,1.51,1.51,-.--
Gary Sanchez,596142,147,25,87.8,0.73,36,1.93,1.93,1.92,1,1.50,-.--,1.50
Welington Castillo,456078,110,30,82.6,0.66,17,1.94,1.94,1.94,2,1.76,1.69,1.83
Chris Herrmann,543302,109,30,80.8,0.77,12,1.98,1.94,2.01,0,-.--,-.--,-.--
Martin Maldonado,455117,108,31,87.7,0.75,39,1.93,1.94,1.93,4,1.60,1.70,1.57
Elias Diaz,553869,134,27,85.0,0.74,10,1.93,1.94,1.92,2,1.46,1.45,1.47
Carlos Perez,542208,108,27,79.8,0.65,8,1.96,1.94,1.98,0,-.--,-.--,-.--
Mike Marjama,605357,136,28,,0.77,1,1.95,1.95,-.--,0,-.--,-.--,-.--
Jorge Alfaro,595751,143,24,89.8,0.76,9,1.95,1.95,1.95,1,1.48,-.--,1.48
Sandy Leon,506702,111,28,80.9,0.67,22,1.97,1.96,1.98,3,1.54,1.54,1.52
Roberto Perez,547379,114,29,84.4,0.72,16,1.95,1.96,1.95,2,1.56,1.61,1.50
Manny Pina,444489,158,30,84.9,0.67,42,1.93,1.96,1.92,1,1.46,1.46,-.--
Christian Vazquez,543877,111,27,82.9,0.66,20,1.96,1.96,1.97,1,1.56,1.56,-.--
Mitch Garver,641598,142,26,81.5,0.72,1,1.96,1.96,-.--,0,-.--,-.--,-.--
Tom Murphy,608596,115,26,82.2,0.78,1,1.98,1.98,-.--,0,-.--,-.--,-.--
Derek Norris,519083,139,28,79.5,0.71,14,2.01,1.98,2.03,2,1.60,-.--,1.60
Hector Sanchez,516949,135,28,82.5,0.68,6,2.00,1.98,2.00,1,1.62,-.--,1.62
John Hicks,543308,116,28,83.4,0.72,4,1.98,1.99,1.98,0,-.--,-.--,-.--
Rene Rivera,425784,112,34,81.5,0.68,24,1.99,1.99,1.99,3,1.53,1.56,1.52
