catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Austin Barnes,605131,119,28,80.6,0.72,9,2.01,2.00,2.01,1,1.54,1.54,-.--
Tucker Barnhart,571466,113,26,80.3,0.68,35,2.00,2.00,2.00,5,1.67,1.62,1.71
Buster Posey,457763,137,30,82.5,0.75,31,2.02,2.00,2.03,5,1.59,1.59,1.59
Jacob Stallings,607732,134,28,,0.72,1,2.00,2.00,-.--,2,1.55,-.--,1.55
Francisco Cervelli,465041,134,31,81.2,0.75,22,2.01,2.00,2.01,0,-.--,-.--,-.--
Yadier Molina,425877,138,35,83.3,0.74,28,1.97,2.00,1.93,6,1.58,1.59,1.57
Nick Hundley,460026,137,34,81.3,0.73,26,2.03,2.00,2.04,2,1.58,1.58,-.--
Jett Bandy,542908,158,27,82.8,0.73,16,1.98,2.00,1.97,6,1.68,1.91,1.57
Josh Phegley,572033,133,29,80.4,0.68,18,1.97,2.01,1.94,3,1.88,-.--,1.88
Tony Wolters,547172,115,25,78.3,0.66,19,1.99,2.01,1.95,7,1.54,1.57,1.53
Drew Butera,460077,118,34,86.0,0.73,17,1.95,2.01,1.94,3,1.51,1.55,1.49
Austin Romine,519222,147,29,83.4,0.79,11,2.05,2.01,2.06,2,1.69,1.71,1.68
Ryan Hanigan,452672,115,37,78.8,0.74,8,2.02,2.02,2.02,2,1.60,-.--,1.60
James McCann,543510,116,27,82.8,0.76,45,2.02,2.02,2.02,1,1.60,-.--,1.60
Geovany Soto,434567,145,34,78.5,0.70,6,2.04,2.02,2.05,0,-.--,-.--,-.--
Max Stassi,545358,117,26,,0.77,1,2.02,2.02,-.--,0,-.--,-.--,-.--
Jonathan Lucroy,518960,115,31,80.1,0.73,35,2.05,2.02,2.06,4,1.60,1.68,1.58
Luke Maile,571912,141,26,83.8,0.75,16,2.00,2.02,1.98,1,1.84,-.--,1.84
Caleb Joseph,543376,110,31,80.8,0.72,32,2.03,2.02,2.03,6,1.61,1.62,1.61
Jose Lobaton,446653,120,33,81.7,0.76,16,2.01,2.03,2.01,0,-.--,-.--,-.--
Wilson Ramos,467092,139,30,81.3,0.78,15,2.04,2.03,2.05,0,-.--,-.--,-.--
Victor Caratini,605170,112,24,81.0,0.82,2,2.08,2.03,2.13,2,1.67,1.71,1.63
Omar Narvaez,553882,145,25,81.3,0.75,41,2.04,2.03,2.05,4,1.60,1.58,1.61
Raffy Lopez,607257,141,30,84.5,0.81,7,2.06,2.03,2.06,0,-.--,-.--,-.--
Kevan Smith,607345,145,29,80.8,0.75,21,2.05,2.03,2.05,5,1.65,1.61,1.66
Evan Gattis,594828,117,31,83.6,0.80,21,2.04,2.03,2.04,4,1.67,-.--,1.67
Andrew Knapp,595284,143,26,82.5,0.77,17,2.02,2.04,2.01,4,1.59,1.65,1.58
Mike Zunino,572287,136,26,80.6,0.72,36,2.02,2.04,2.01,3,1.73,1.63,1.78
Dustin Garneau,572863,133,30,79.1,0.73,4,2.03,2.04,2.01,3,1.58,1.67,1.54
Matt Wieters,446308,120,31,80.8,0.75,32,2.02,2.04,2.00,3,1.58,1.56,1.63
Yasmani Grandal,518735,119,29,81.7,0.75,29,2.03,2.04,2.02,1,1.59,-.--,1.59
Rob Brantly,542963,145,28,80.2,0.88,2,2.13,2.04,2.22,0,-.--,-.--,-.--
Chris Iannetta,455104,109,34,82.4,0.80,14,2.05,2.05,2.05,2,1.73,1.58,1.89
Robinson Chirinos,455139,140,33,80.9,0.78,23,2.04,2.05,2.03,6,1.87,2.07,1.78
Juan Centeno,518542,117,28,81.2,0.64,6,1.99,2.05,1.98,0,-.--,-.--,-.--
Jesus Sucre,491696,139,29,83.7,0.71,11,1.97,2.06,1.94,4,1.51,1.53,1.44
Travis d'Arnaud,518595,121,28,82.6,0.78,34,2.06,2.07,2.05,3,1.65,1.72,1.61
Eric Fryer,518700,138,32,,0.70,4,2.02,2.07,1.97,0,-.--,-.--,-.--
Stuart Turner,642156,113,26,84.0,0.81,7,2.03,2.07,2.01,1,1.55,-.--,1.55
Alex Avila,488671,112,30,81.3,0.78,27,2.06,2.07,2.05,4,1.55,1.54,1.55
Kurt Suzuki,435559,144,34,81.4,0.81,20,2.07,2.07,2.07,3,1.70,1.78,1.54
Russell Martin,431145,141,34,81.6,0.71,29,2.01,2.07,1.99,8,1.64,1.56,1.71
Devin Mesoraco,519023,113,29,81.1,0.76,11,2.08,2.07,2.08,1,1.63,-.--,1.63
Jeff Mathis,425772,109,34,78.2,0.72,16,2.05,2.07,2.03,0,-.--,-.--,-.--
Cameron Rupp,519237,143,29,85.4,0.85,25,2.05,2.08,2.03,5,1.68,-.--,1.68
Chris Gimenez,460269,142,35,81.4,0.75,19,2.06,2.08,2.04,3,1.61,1.63,1.57
A.J. Ellis,454560,146,36,77.2,0.76,11,2.09,2.08,2.10,1,1.67,-.--,1.67
Juan Graterol,492802,108,28,82.4,0.78,21,2.04,2.08,2.03,0,-.--,-.--,-.--
Ryan Lavarnway,543432,133,30,79.7,0.90,1,2.09,2.09,-.--,0,-.--,-.--,-.--
Kevin Plawecki,608700,121,26,77.9,0.76,22,2.08,2.10,2.07,2,1.64,-.--,1.64
Tuffy Gosewisch,488912,136,34,77.8,0.68,3,2.08,2.11,2.06,0,-.--,-.--,-.--
Bruce Maxwell,622194,133,27,79.5,0.73,30,2.10,2.11,2.10,4,1.64,1.68,1.63
Stephen Vogt,519390,158,33,76.0,0.68,34,2.11,2.12,2.11,3,1.64,-.--,1.64
Jason Castro,488771,142,30,81.4,0.81,32,2.07,2.12,2.05,1,1.64,-.--,1.64
Carlos Ruiz,434563,136,38,79.0,0.77,14,2.08,2.13,2.06,3,1.61,1.57,1.63
Brian McCann,435263,117,33,77.8,0.77,23,2.10,2.14,2.09,3,1.84,1.60,1.96
Miguel Montero,471083,141,34,80.3,0.79,15,2.11,2.17,2.10,2,1.62,1.62,1.62
Tyler Flowers,452095,144,31,74.7,0.75,29,2.14,2.19,2.12,4,1.66,1.66,-.--
Cam Gallagher,595956,118,25,80.5,0.75,4,2.06,-.--,2.06,0,-.--,-.--,-.--
Raudy Read,600466,120,24,,0.63,1,1.99,-.--,1.99,0,-.--,-.--,-.--
Chance Sisco,642082,110,22,,0.90,1,2.23,-.--,2.23,1,1.82,-.--,1.82
Carson Kelly,608348,138,23,84.1,0.71,2,1.96,-.--,1.96,2,1.54,1.54,-.--
Anthony Recker,489232,144,34,,,1,2.00,-.--,2.00,0,-.--,-.--,-.--
Francisco Pena,506747,110,28,,0.73,1,2.02,-.--,2.02,0,-.--,-.--,-.--
Blake Swihart,596119,111,25,,0.72,1,1.89,-.--,1.89,0,-.--,-.--,-.--
Chad Wallach,595453,113,26,,0.73,1,1.94,-.--,1.94,0,-.--,-.--,-.--
Jarrod Saltalamacchia,457454,141,32,80.1,0.73,3,2.10,-.--,2.10,1,1.58,-.--,1.58
Kyle Higashioka,543309,147,27,,0.74,1,2.03,-.--,2.03,0,-.--,-.--,-.--
Curt Casali,592200,139,29,80.2,0.82,1,2.01,-.--,2.01,1,2.04,2.04,-.--
Tomas Telis,542513,146,26,81.5,0.78,1,2.01,-.--,2.01,0,-.--,-.--,-.--
Brett Nicholas,592592,140,29,78.8,0.76,6,2.09,-.--,2.09,1,1.67,-.--,1.67
Rocky Gale,502570,135,29,78.0,0.71,4,1.99,-.--,1.99,0,-.--,-.--,-.--
Mike Ohlman,572000,141,27,75.1,0.75,1,2.12,-.--,2.12,0,-.--,-.--,-.--
Taylor Davis,543089,112,28,,0.69,1,1.96,-.--,1.96,0,-.--,-.--,-.--
