"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"J.D. Martinez","- - -","33.8 %","76.2 %","51.8 %","57.9 %","76.0 %","69.2 %","42.6 %","66.4 %","15.9 %","28.8 %","9.9 %","274","6184"
"Charlie Blackmon","Rockies","29.1 %","63.7 %","44.9 %","72.2 %","89.0 %","83.1 %","45.6 %","52.7 %","7.6 %","16.9 %","11.3 %","319","7859"
"Giancarlo Stanton","Marlins","25.9 %","61.5 %","40.2 %","54.0 %","78.1 %","68.8 %","40.1 %","48.9 %","12.5 %","23.2 %","14.2 %","323","4949"
"Joey Votto","Reds","13.1 %","68.7 %","39.6 %","78.2 %","85.4 %","84.1 %","47.7 %","56.0 %","6.3 %","12.7 %","22.3 %","323","4314"
"Nolan Arenado","Rockies","29.2 %","69.3 %","47.2 %","62.5 %","87.4 %","78.9 %","44.9 %","57.9 %","10.0 %","14.4 %","12.0 %","292","9777"
"Rhys Hoskins","Phillies","24.0 %","57.7 %","38.3 %","68.4 %","88.8 %","81.4 %","42.4 %","53.8 %","7.1 %","21.7 %","17.5 %","212","16472"
"Josh Donaldson","Blue Jays","26.2 %","65.7 %","43.0 %","63.0 %","82.5 %","75.7 %","42.4 %","56.4 %","10.5 %","21.8 %","14.9 %","303","5038"
"Mike Trout","Angels","17.9 %","57.1 %","35.2 %","66.7 %","93.1 %","85.6 %","44.2 %","61.5 %","5.1 %","15.9 %","19.3 %","301","10155"
"Tommy Pham","Cardinals","18.3 %","60.2 %","37.1 %","61.3 %","89.7 %","82.0 %","44.8 %","55.8 %","6.7 %","19.4 %","15.3 %","294","2967"
"Brian Dozier","Twins","24.7 %","61.1 %","41.6 %","63.5 %","82.3 %","76.3 %","46.5 %","58.2 %","9.9 %","20.0 %","11.8 %","330","9810"
"Kris Bryant","Cubs","30.2 %","65.8 %","45.0 %","65.6 %","85.0 %","77.4 %","41.8 %","58.6 %","10.2 %","17.9 %","11.9 %","302","15429"
"Justin Upton","- - -","27.3 %","64.4 %","43.3 %","59.2 %","77.2 %","70.8 %","43.2 %","56.5 %","12.7 %","30.1 %","12.4 %","306","5222"
"Jose Altuve","Astros","34.3 %","69.5 %","49.2 %","73.0 %","92.1 %","84.4 %","42.4 %","66.3 %","7.7 %","13.5 %","7.4 %","282","5417"
"Nelson Cruz","Mariners","30.9 %","71.4 %","47.3 %","49.3 %","81.9 %","69.2 %","40.5 %","60.5 %","14.6 %","25.2 %","11.0 %","301","2434"
"Mike Zunino","Mariners","30.5 %","74.1 %","50.3 %","40.3 %","74.6 %","63.2 %","45.4 %","58.7 %","18.5 %","34.3 %","11.3 %","213","13265"
"Avisail Garcia","White Sox","36.6 %","84.6 %","57.7 %","48.4 %","84.4 %","71.6 %","44.0 %","61.0 %","16.4 %","17.8 %","8.3 %","241","5760"
"Jose Abreu","White Sox","35.5 %","67.5 %","49.4 %","59.3 %","87.3 %","75.9 %","43.4 %","58.3 %","11.9 %","19.0 %","4.3 %","300","15676"
"Carlos Gonzalez","Rockies","34.2 %","69.2 %","49.0 %","53.3 %","82.0 %","70.5 %","42.3 %","54.2 %","14.5 %","23.3 %","11.0 %","236","7287"
