"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Christian Yelich","Brewers","30.6 %","71.1 %","45.6 %","56.3 %","87.5 %","74.4 %","37.2 %","59.5 %","11.7 %","18.6 %","14.2 %","365","11477"
"Cody Bellinger","Dodgers","26.5 %","68.5 %","43.1 %","69.6 %","83.8 %","78.5 %","39.3 %","52.5 %","9.3 %","14.9 %","14.3 %","377","15998"
"Mike Trout","Angels","20.1 %","58.6 %","35.5 %","72.3 %","91.8 %","85.2 %","40.1 %","50.9 %","5.3 %","17.6 %","19.4 %","391","10155"
"Joey Gallo","Rangers","22.4 %","64.2 %","38.9 %","38.7 %","73.0 %","61.0 %","39.4 %","50.0 %","15.1 %","36.5 %","18.8 %","260","14128"
"Charlie Blackmon","Rockies","35.3 %","71.8 %","51.7 %","73.5 %","87.1 %","82.0 %","44.8 %","62.5 %","9.3 %","17.3 %","5.9 %","341","7859"
"Peter Alonso","Mets","33.4 %","64.4 %","44.4 %","64.4 %","84.2 %","74.6 %","35.5 %","57.2 %","11.3 %","24.5 %","9.8 %","376","19251"
"Josh Bell","Pirates","30.9 %","79.1 %","49.1 %","66.6 %","82.2 %","76.0 %","37.7 %","55.7 %","11.8 %","20.4 %","10.8 %","388","13145"
"Anthony Rendon","Nationals","23.0 %","72.1 %","43.9 %","73.4 %","91.8 %","86.2 %","42.5 %","55.3 %","6.0 %","15.1 %","10.2 %","324","12861"
"Freddie Freeman","Braves","31.2 %","82.8 %","51.1 %","67.6 %","80.8 %","75.8 %","38.6 %","54.7 %","12.3 %","18.5 %","11.3 %","406","5361"
"Bryan Reynolds","Pirates","32.8 %","72.8 %","48.2 %","60.5 %","85.3 %","74.9 %","38.6 %","61.8 %","12.1 %","21.5 %","9.6 %","251","19326"
"Kris Bryant","Cubs","29.0 %","76.5 %","47.9 %","66.4 %","82.7 %","76.7 %","39.7 %","59.7 %","11.1 %","19.5 %","12.3 %","375","15429"
"George Springer","Astros","22.1 %","75.1 %","45.5 %","50.0 %","81.7 %","73.1 %","44.2 %","65.3 %","12.2 %","20.5 %","11.6 %","268","12856"
"Carlos Santana","Indians","20.3 %","66.2 %","38.6 %","65.8 %","87.5 %","80.6 %","39.8 %","54.2 %","7.5 %","14.8 %","16.9 %","378","2396"
