"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Khris Davis","Athletics","28.0 %","76.5 %","49.2 %","55.7 %","79.3 %","71.7 %","43.6 %","66.1 %","13.9 %","27.9 %","11.0 %","283","9112"
"David Ortiz","Red Sox","29.7 %","67.2 %","43.5 %","71.1 %","89.9 %","81.8 %","36.8 %","49.8 %","7.8 %","15.2 %","11.3 %","283","745"
"Yasmany Tomas","Diamondbacks","44.2 %","84.2 %","60.1 %","57.7 %","84.7 %","72.7 %","39.7 %","72.5 %","16.2 %","23.3 %","5.0 %","258","17171"
"Carlos Santana","Indians","21.7 %","65.8 %","40.1 %","69.8 %","87.3 %","81.8 %","41.7 %","52.3 %","7.3 %","14.7 %","16.0 %","306","2396"
"Jose Altuve","Astros","36.8 %","74.8 %","52.6 %","76.6 %","91.8 %","85.6 %","41.5 %","63.5 %","7.5 %","10.6 %","6.1 %","312","5417"
"Justin Turner","Dodgers","25.2 %","66.2 %","45.3 %","75.7 %","85.7 %","82.9 %","49.1 %","58.6 %","7.8 %","18.7 %","6.8 %","278","5235"
"Jose Ramirez","Indians","29.4 %","65.6 %","44.7 %","84.7 %","93.3 %","90.0 %","42.2 %","55.3 %","4.5 %","8.6 %","7.0 %","302","13510"
"Corey Seager","Dodgers","34.5 %","80.6 %","54.9 %","60.5 %","87.7 %","78.2 %","44.3 %","61.4 %","11.9 %","18.5 %","7.0 %","298","13624"
"Matt Kemp","- - -","39.9 %","76.3 %","55.1 %","57.9 %","82.9 %","72.4 %","41.7 %","63.1 %","15.0 %","23.8 %","7.7 %","298","5631"
"Yasmani Grandal","Dodgers","26.4 %","64.4 %","41.1 %","54.4 %","82.4 %","71.4 %","38.8 %","50.7 %","11.8 %","27.6 %","13.8 %","225","11368"
"Josh Donaldson","Blue Jays","24.7 %","64.2 %","40.8 %","65.1 %","82.9 %","76.5 %","40.8 %","56.6 %","9.6 %","17.3 %","15.9 %","295","5038"
"Ryan Schimpf","Padres","25.8 %","66.1 %","42.9 %","55.7 %","81.3 %","72.5 %","42.5 %","57.8 %","11.7 %","33.7 %","12.8 %","258","9953"
"Paul Goldschmidt","Diamondbacks","23.7 %","62.8 %","40.6 %","68.2 %","82.0 %","77.4 %","43.3 %","56.0 %","9.0 %","19.9 %","14.8 %","311","9218"
"Edwin Encarnacion","Blue Jays","26.0 %","65.7 %","42.5 %","62.1 %","83.7 %","75.9 %","41.4 %","59.7 %","10.2 %","19.7 %","13.3 %","315","2151"
"Dustin Pedroia","Red Sox","27.4 %","61.0 %","43.8 %","83.3 %","92.2 %","89.3 %","48.8 %","60.5 %","4.7 %","8.7 %","8.0 %","311","8370"
"David Dahl","Rockies","35.6 %","76.0 %","52.9 %","58.6 %","80.2 %","71.9 %","42.8 %","63.3 %","14.9 %","24.9 %","6.3 %","237","13744"
"Anthony Rendon","Nationals","28.2 %","66.4 %","45.6 %","75.5 %","88.9 %","84.4 %","45.7 %","63.2 %","7.1 %","15.2 %","7.9 %","277","12861"
"Ryon Healy","Athletics","34.5 %","56.8 %","44.6 %","66.7 %","87.7 %","78.9 %","45.6 %","61.5 %","9.4 %","21.2 %","4.2 %","283","15447"
"Cesar Hernandez","Phillies","22.9 %","65.6 %","41.1 %","68.2 %","91.0 %","83.7 %","42.5 %","57.7 %","6.7 %","18.3 %","15.7 %","312","10556"
"Jonathan Lucroy","- - -","31.2 %","57.9 %","43.7 %","73.0 %","86.8 %","81.5 %","46.8 %","52.7 %","8.0 %","19.1 %","9.1 %","220","7870"
"Adam Eaton","White Sox","30.2 %","67.9 %","45.8 %","75.8 %","91.0 %","85.1 %","41.3 %","60.4 %","6.8 %","16.9 %","9.1 %","308","11205"
"Jonathan Villar","Brewers","24.8 %","68.3 %","43.3 %","55.7 %","81.6 %","73.1 %","42.5 %","54.5 %","11.6 %","24.2 %","11.6 %","310","10071"
"Elvis Andrus","Rangers","28.8 %","63.7 %","44.2 %","73.4 %","91.3 %","84.8 %","44.0 %","63.3 %","6.7 %","12.5 %","8.8 %","240","8709"
"Ender Inciarte","Braves","34.3 %","63.0 %","46.9 %","82.6 %","94.1 %","89.3 %","43.8 %","58.0 %","5.0 %","12.0 %","7.7 %","324","4922"
"Jedd Gyorko","Cardinals","31.8 %","70.4 %","48.5 %","57.3 %","85.5 %","75.0 %","43.2 %","62.5 %","12.1 %","22.8 %","8.8 %","272","10816"
"Jose Bautista","Blue Jays","23.5 %","54.0 %","36.5 %","60.3 %","86.6 %","76.8 %","42.5 %","58.4 %","8.4 %","23.4 %","16.9 %","231","1887"
"Anthony Rizzo","Cubs","37.2 %","66.2 %","48.3 %","70.9 %","91.7 %","81.8 %","38.3 %","57.1 %","8.8 %","17.8 %","7.9 %","303","3473"
"Russell Martin","Blue Jays","19.8 %","57.3 %","36.3 %","47.9 %","82.7 %","72.1 %","44.1 %","53.4 %","10.1 %","25.5 %","14.7 %","251","4616"
"Christian Yelich","Marlins","26.3 %","66.3 %","42.8 %","50.3 %","87.7 %","74.1 %","41.2 %","56.7 %","11.0 %","21.5 %","10.9 %","312","11477"
"Ian Kinsler","Tigers","26.9 %","62.5 %","43.2 %","69.2 %","95.1 %","86.4 %","46.0 %","61.8 %","5.9 %","15.6 %","6.6 %","288","6195"
"Brandon Phillips","Reds","38.8 %","75.8 %","54.4 %","72.0 %","93.6 %","84.7 %","42.2 %","58.1 %","8.3 %","10.0 %","2.1 %","241","791"
"Scott Schebler","Reds","34.8 %","75.5 %","51.9 %","61.6 %","84.8 %","75.8 %","42.0 %","61.5 %","12.5 %","18.3 %","6.6 %","213","12225"
"Dexter Fowler","Cubs","19.1 %","66.0 %","38.8 %","65.9 %","85.8 %","80.2 %","42.1 %","57.3 %","7.7 %","23.6 %","16.5 %","267","4062"
"Brandon Drury","Diamondbacks","29.4 %","60.9 %","43.5 %","60.4 %","90.0 %","78.9 %","44.7 %","61.4 %","9.2 %","19.9 %","8.1 %","236","11615"
"Brad Miller","Rays","34.0 %","71.4 %","48.8 %","61.8 %","79.0 %","71.7 %","39.5 %","61.3 %","13.8 %","27.7 %","9.3 %","289","12775"
"Jason Kipnis","Indians","29.2 %","64.4 %","44.2 %","62.6 %","92.4 %","81.1 %","42.8 %","58.8 %","8.3 %","21.8 %","9.7 %","308","9776"
"Ben Zobrist","Cubs","19.5 %","55.8 %","34.2 %","77.8 %","96.2 %","90.0 %","40.6 %","57.6 %","3.4 %","12.6 %","16.4 %","269","7435"
"Brandon Belt","Giants","27.0 %","76.2 %","46.8 %","55.2 %","84.7 %","74.5 %","40.2 %","59.8 %","11.9 %","27.8 %","17.2 %","291","10264"
"Albert Pujols","Angels","36.2 %","63.5 %","47.9 %","77.0 %","92.5 %","85.7 %","42.7 %","58.2 %","6.7 %","12.1 %","4.0 %","273","1177"
"Devon Travis","Blue Jays","36.9 %","62.9 %","48.6 %","71.6 %","89.5 %","82.0 %","45.0 %","60.2 %","8.8 %","20.8 %","4.0 %","274","13862"
"Carlos Correa","Astros","30.7 %","67.7 %","46.0 %","65.8 %","83.7 %","76.7 %","41.4 %","59.5 %","10.6 %","19.4 %","10.9 %","284","14162"
"Mike Napoli","Indians","26.6 %","68.3 %","43.9 %","59.8 %","80.9 %","73.4 %","41.6 %","57.6 %","11.6 %","25.9 %","13.4 %","290","3057"
"Kendrys Morales","Royals","36.8 %","70.7 %","49.8 %","64.3 %","88.5 %","77.5 %","38.3 %","55.5 %","11.2 %","19.2 %","7.9 %","292","8610"
"Randal Grichuk","Cardinals","40.7 %","74.1 %","55.8 %","54.2 %","79.1 %","69.2 %","45.3 %","68.8 %","17.2 %","36.8 %","4.3 %","231","10243"
"Kyle Seager","Mariners","28.5 %","56.0 %","40.5 %","68.5 %","91.2 %","82.2 %","43.7 %","54.0 %","7.2 %","17.1 %","10.4 %","298","9785"
"Robinson Cano","Mariners","41.0 %","72.1 %","54.2 %","70.9 %","92.5 %","83.1 %","42.4 %","60.7 %","9.0 %","13.8 %","6.0 %","318","3269"
"George Springer","Astros","26.7 %","75.1 %","47.2 %","63.8 %","78.9 %","73.9 %","42.3 %","66.3 %","12.3 %","26.0 %","11.9 %","335","12856"
"Chris Carter","Brewers","27.5 %","68.0 %","43.6 %","43.2 %","76.2 %","63.6 %","39.8 %","62.7 %","15.8 %","31.3 %","13.3 %","300","9911"
"Nick Markakis","Braves","23.7 %","57.7 %","38.7 %","83.0 %","92.5 %","89.3 %","44.3 %","53.8 %","4.1 %","14.5 %","10.9 %","303","5930"
"Melky Cabrera","White Sox","36.8 %","68.9 %","50.1 %","81.1 %","91.3 %","86.9 %","41.6 %","58.5 %","6.6 %","11.2 %","7.3 %","313","4022"
"Andrew McCutchen","Pirates","24.9 %","69.9 %","44.7 %","67.7 %","85.8 %","80.2 %","43.9 %","60.3 %","8.8 %","16.9 %","11.9 %","302","9847"
"Rougned Odor","Rangers","42.8 %","74.1 %","55.0 %","62.8 %","90.3 %","77.3 %","39.0 %","59.5 %","12.5 %","22.9 %","3.9 %","284","12282"
"Carlos Beltran","- - -","32.3 %","66.5 %","45.9 %","69.9 %","92.1 %","82.6 %","39.6 %","59.3 %","7.9 %","15.4 %","6.6 %","273","589"
"Curtis Granderson","Mets","21.2 %","60.6 %","37.5 %","60.1 %","90.7 %","80.6 %","41.4 %","54.6 %","7.2 %","18.9 %","12.4 %","275","4747"
"Evan Longoria","Rays","34.5 %","64.8 %","48.4 %","63.0 %","85.3 %","76.7 %","46.0 %","64.0 %","11.3 %","19.7 %","5.4 %","314","9368"
"Adonis Garcia","Braves","40.9 %","66.1 %","51.6 %","68.3 %","91.2 %","80.7 %","42.3 %","62.5 %","9.9 %","14.6 %","4.7 %","301","13777"
"Alex Bregman","Astros","27.2 %","69.3 %","46.6 %","59.8 %","81.6 %","74.7 %","46.1 %","65.0 %","11.8 %","24.0 %","6.9 %","217","17678"
"Manny Machado","Orioles","32.7 %","70.7 %","48.7 %","66.8 %","88.9 %","80.3 %","42.1 %","58.4 %","9.6 %","17.2 %","5.6 %","320","11493"
"Starlin Castro","Yankees","40.5 %","72.1 %","54.6 %","61.8 %","87.5 %","76.9 %","44.7 %","59.7 %","12.6 %","21.7 %","3.1 %","258","4579"
"Eugenio Suarez","Reds","24.5 %","63.1 %","41.4 %","60.7 %","90.6 %","80.7 %","43.9 %","58.3 %","8.0 %","22.8 %","9.1 %","285","12552"
"Adrian Gonzalez","Dodgers","35.8 %","71.9 %","50.2 %","63.2 %","86.6 %","76.6 %","39.8 %","58.0 %","11.7 %","19.0 %","5.5 %","274","1908"
"Eddie Rosario","Twins","42.8 %","73.8 %","55.2 %","64.4 %","82.3 %","74.0 %","40.1 %","65.2 %","14.3 %","28.4 %","4.5 %","201","12155"
"Alex Dickerson","Padres","30.1 %","73.4 %","47.7 %","72.0 %","87.5 %","81.7 %","40.7 %","59.6 %","8.6 %","16.7 %","10.0 %","240","12649"
"Victor Martinez","Tigers","34.9 %","68.1 %","48.0 %","75.7 %","89.1 %","83.2 %","39.4 %","57.9 %","8.0 %","15.4 %","10.3 %","273","393"
"J.T. Realmuto","Marlins","32.8 %","68.5 %","48.8 %","69.8 %","88.0 %","81.3 %","44.8 %","68.0 %","9.1 %","20.1 %","6.1 %","244","11739"
"Hunter Pence","Giants","36.3 %","67.5 %","48.6 %","57.0 %","79.7 %","69.4 %","39.5 %","64.5 %","14.8 %","23.9 %","8.5 %","234","8252"
"Kole Calhoun","Angels","31.6 %","72.1 %","48.6 %","58.3 %","88.0 %","76.8 %","41.8 %","63.6 %","11.3 %","17.9 %","10.3 %","291","11200"
"Denard Span","Giants","26.9 %","63.7 %","44.0 %","77.2 %","92.8 %","87.7 %","46.4 %","55.3 %","5.4 %","10.9 %","6.5 %","275","8347"
"Martin Prado","Marlins","27.7 %","53.6 %","39.5 %","83.4 %","94.0 %","89.9 %","45.4 %","62.8 %","4.0 %","9.6 %","7.6 %","301","3312"
"Corey Dickerson","Rays","47.1 %","75.9 %","57.8 %","72.7 %","77.2 %","74.9 %","37.1 %","62.9 %","14.4 %","23.3 %","5.1 %","275","10762"
"Francisco Lindor","Indians","34.9 %","72.0 %","49.6 %","76.1 %","90.7 %","84.5 %","39.7 %","62.6 %","7.6 %","12.6 %","7.9 %","302","12916"
"Joe Mauer","Twins","25.5 %","53.8 %","37.6 %","82.2 %","91.0 %","87.6 %","42.6 %","54.5 %","4.6 %","16.0 %","13.6 %","213","1857"
"Wilson Ramos","Nationals","30.7 %","73.4 %","50.4 %","65.2 %","87.3 %","80.1 %","46.2 %","61.7 %","10.0 %","17.8 %","5.2 %","230","1433"
"Carlos Gonzalez","Rockies","33.7 %","74.9 %","50.5 %","55.0 %","83.4 %","72.1 %","40.6 %","52.6 %","14.0 %","18.5 %","7.4 %","270","7287"
"Yoenis Cespedes","Mets","34.1 %","68.0 %","48.1 %","69.5 %","88.2 %","80.5 %","41.5 %","59.1 %","9.2 %","14.1 %","9.1 %","220","13110"
"Sandy Leon","Red Sox","32.9 %","59.8 %","43.9 %","70.7 %","89.1 %","81.0 %","41.1 %","58.7 %","8.3 %","24.7 %","8.1 %","223","5273"
"Troy Tulowitzki","Blue Jays","28.2 %","66.6 %","46.0 %","73.6 %","88.8 %","83.8 %","46.4 %","56.2 %","7.4 %","14.3 %","6.4 %","265","3531"
"Hernan Perez","Brewers","39.8 %","66.3 %","51.7 %","57.8 %","87.5 %","74.9 %","44.9 %","71.1 %","13.0 %","21.5 %","4.6 %","284","5751"
"Angel Pagan","Giants","24.9 %","59.7 %","40.2 %","81.0 %","94.3 %","89.7 %","43.9 %","57.9 %","4.2 %","10.7 %","8.7 %","309","2918"
"Buster Posey","Giants","29.7 %","67.6 %","47.0 %","81.5 %","93.9 %","89.7 %","45.6 %","65.0 %","4.8 %","10.6 %","10.6 %","283","9166"
"Jorge Polanco","Twins","35.5 %","55.1 %","43.8 %","71.3 %","93.1 %","82.9 %","42.5 %","56.7 %","7.5 %","18.1 %","5.5 %","238","13152"
"Kevin Kiermaier","Rays","28.2 %","64.2 %","42.6 %","68.1 %","84.4 %","78.0 %","40.0 %","54.9 %","9.4 %","18.8 %","10.5 %","277","11038"
"Logan Forsythe","Rays","22.9 %","57.5 %","38.7 %","64.2 %","86.0 %","79.1 %","45.9 %","61.8 %","8.1 %","23.3 %","8.4 %","309","7185"
"Mark Trumbo","Orioles","33.9 %","69.5 %","48.5 %","64.8 %","81.9 %","74.8 %","40.9 %","60.6 %","12.2 %","24.3 %","8.6 %","292","6876"
"Jayson Werth","Nationals","23.9 %","54.9 %","38.2 %","75.9 %","86.6 %","83.0 %","46.3 %","52.8 %","6.5 %","23.6 %","10.1 %","267","1327"
"Odubel Herrera","Phillies","36.6 %","67.7 %","48.2 %","65.9 %","85.7 %","76.3 %","37.2 %","56.8 %","11.3 %","23.4 %","6.8 %","278","11476"
"Jose Reyes","Mets","32.2 %","63.1 %","45.1 %","72.4 %","88.7 %","81.9 %","41.9 %","63.2 %","8.1 %","17.8 %","8.3 %","253","1736"
"Jay Bruce","- - -","36.1 %","80.2 %","53.5 %","61.9 %","81.6 %","73.5 %","39.4 %","54.5 %","14.0 %","23.2 %","9.3 %","246","9892"
"Yangervis Solarte","Padres","38.7 %","72.6 %","52.5 %","73.3 %","90.5 %","83.0 %","40.8 %","64.9 %","8.9 %","15.3 %","4.0 %","248","5352"
"Todd Frazier","White Sox","36.1 %","66.3 %","48.8 %","58.9 %","83.0 %","72.7 %","42.0 %","62.9 %","13.3 %","26.1 %","8.0 %","299","785"
"Stephen Piscotty","Cardinals","35.2 %","77.3 %","54.4 %","59.8 %","82.8 %","74.7 %","45.7 %","65.4 %","13.8 %","24.3 %","6.5 %","292","13367"
"Addison Russell","Cubs","35.0 %","73.5 %","52.3 %","63.2 %","83.9 %","76.3 %","44.9 %","65.2 %","12.4 %","20.1 %","6.8 %","264","14106"
"Andrelton Simmons","Angels","25.6 %","70.2 %","45.8 %","70.5 %","93.5 %","86.4 %","45.2 %","63.6 %","6.2 %","8.2 %","7.1 %","269","10847"
"Brett Gardner","Yankees","27.6 %","52.9 %","38.0 %","76.2 %","91.7 %","85.1 %","41.2 %","50.9 %","5.7 %","15.2 %","10.4 %","289","9927"
"Chris Davis","Orioles","28.6 %","64.3 %","42.5 %","49.8 %","76.6 %","65.6 %","39.0 %","56.7 %","14.6 %","33.3 %","13.1 %","291","9272"
"Xander Bogaerts","Red Sox","36.1 %","57.7 %","45.9 %","65.8 %","91.6 %","80.5 %","45.3 %","56.3 %","9.0 %","20.0 %","7.4 %","325","12161"
"Danny Valencia","Athletics","30.5 %","60.6 %","42.8 %","54.1 %","86.4 %","72.8 %","41.0 %","58.7 %","11.6 %","23.6 %","9.1 %","242","6364"
"Mitch Moreland","Rangers","34.5 %","68.9 %","48.0 %","59.2 %","87.0 %","74.9 %","39.4 %","52.7 %","12.0 %","21.2 %","5.8 %","226","3086"
"Jhonny Peralta","Cardinals","25.7 %","72.9 %","45.5 %","67.5 %","91.1 %","83.4 %","42.1 %","50.7 %","7.6 %","17.2 %","6.9 %","203","1738"
"Adam Duvall","Reds","31.6 %","71.2 %","48.6 %","60.1 %","85.9 %","76.4 %","42.9 %","59.9 %","11.5 %","24.6 %","8.8 %","284","10950"
"Brandon Crawford","Giants","32.1 %","77.7 %","52.0 %","53.6 %","84.8 %","73.9 %","43.6 %","58.5 %","13.5 %","18.8 %","8.3 %","277","5343"
"Howie Kendrick","Dodgers","32.7 %","67.6 %","48.4 %","65.2 %","88.6 %","79.9 %","45.0 %","63.9 %","9.7 %","18.6 %","11.0 %","263","4229"
"Miguel Sano","Twins","25.3 %","66.6 %","43.3 %","38.5 %","76.3 %","63.8 %","43.6 %","58.4 %","15.7 %","39.1 %","7.6 %","238","12164"
"Jackie Bradley Jr.","Red Sox","30.2 %","64.0 %","44.9 %","64.5 %","81.3 %","75.0 %","43.6 %","57.9 %","11.2 %","25.0 %","9.6 %","292","12984"
"J.J. Hardy","Orioles","25.7 %","48.5 %","36.7 %","68.0 %","93.5 %","84.2 %","48.1 %","63.2 %","5.8 %","15.8 %","6.6 %","272","3797"
"Nomar Mazara","Rangers","36.4 %","60.6 %","46.1 %","67.2 %","87.6 %","77.9 %","40.0 %","59.5 %","10.2 %","25.4 %","7.3 %","232","14553"
"Alex Gordon","Royals","25.3 %","69.2 %","43.9 %","51.2 %","83.5 %","72.8 %","42.4 %","63.7 %","11.9 %","29.9 %","10.8 %","278","5209"
"Scooter Gennett","Brewers","33.5 %","73.9 %","49.9 %","71.0 %","88.2 %","81.4 %","40.6 %","57.9 %","9.3 %","20.1 %","5.5 %","273","10339"
"Paulo Orlando","Royals","38.4 %","74.4 %","53.6 %","64.4 %","85.7 %","76.9 %","42.2 %","66.9 %","12.4 %","21.8 %","3.0 %","266","8628"
"Matt Carpenter","Cardinals","25.4 %","61.8 %","40.8 %","58.1 %","90.9 %","79.1 %","42.3 %","54.0 %","8.5 %","21.9 %","10.7 %","215","8090"
"Cheslor Cuthbert","Royals","32.2 %","67.9 %","48.1 %","63.2 %","86.3 %","77.8 %","44.7 %","65.2 %","10.7 %","17.1 %","7.8 %","293","10473"
"Justin Morneau","White Sox","41.3 %","79.0 %","55.4 %","63.6 %","88.7 %","77.0 %","37.4 %","59.2 %","12.7 %","23.9 %","5.5 %","218","1737"
"Chase Headley","Yankees","30.0 %","67.4 %","45.4 %","60.0 %","87.6 %","76.8 %","41.0 %","58.8 %","10.4 %","21.5 %","9.6 %","228","4720"
"Josh Reddick","- - -","32.2 %","65.3 %","46.6 %","79.0 %","89.8 %","85.6 %","43.6 %","55.1 %","6.7 %","13.8 %","7.1 %","225","3892"
"Yonder Alonso","Athletics","27.7 %","70.4 %","46.3 %","71.5 %","91.4 %","84.7 %","43.5 %","55.9 %","7.1 %","14.3 %","8.4 %","238","2530"
"Bryce Harper","Nationals","26.1 %","68.1 %","41.7 %","63.8 %","87.6 %","78.2 %","37.2 %","49.0 %","9.0 %","22.8 %","14.7 %","259","11579"
"Jace Peterson","Braves","25.1 %","59.3 %","39.9 %","70.1 %","93.6 %","85.2 %","43.4 %","53.1 %","5.9 %","16.6 %","14.9 %","241","12325"
"Yunel Escobar","Angels","31.6 %","73.6 %","50.1 %","68.9 %","96.0 %","86.4 %","44.1 %","67.6 %","6.8 %","11.3 %","7.7 %","222","4191"
"Wil Myers","Padres","27.7 %","57.8 %","40.0 %","71.0 %","85.8 %","79.7 %","40.8 %","57.6 %","8.1 %","27.6 %","10.8 %","297","10047"
"Tim Anderson","White Sox","35.6 %","69.1 %","49.9 %","54.7 %","82.3 %","71.0 %","42.6 %","67.7 %","14.5 %","26.4 %","4.0 %","303","15172"
"Daniel Descalso","Rockies","22.4 %","67.0 %","41.0 %","58.7 %","90.1 %","80.1 %","41.7 %","55.6 %","8.1 %","19.3 %","10.6 %","207","8392"
"Freddy Galvis","Phillies","46.2 %","69.6 %","56.1 %","70.7 %","85.1 %","78.3 %","42.6 %","63.2 %","12.0 %","23.9 %","4.4 %","272","6609"
"Michael Bourn","- - -","25.7 %","61.4 %","42.5 %","60.7 %","84.9 %","77.2 %","47.1 %","61.0 %","9.7 %","19.9 %","6.9 %","231","6387"
"Adam Jones","Orioles","47.3 %","84.4 %","62.1 %","61.0 %","87.4 %","75.3 %","39.7 %","58.9 %","15.3 %","16.4 %","4.9 %","304","6368"
"Chase Utley","Dodgers","23.6 %","60.0 %","41.0 %","66.4 %","90.5 %","83.3 %","47.7 %","61.3 %","6.9 %","22.7 %","4.6 %","238","1679"
"Chris Owings","Diamondbacks","40.7 %","68.5 %","53.3 %","59.6 %","91.0 %","77.9 %","45.2 %","66.7 %","11.7 %","18.1 %","1.9 %","270","10030"
"Max Kepler","Twins","31.0 %","58.7 %","42.3 %","69.3 %","90.9 %","81.5 %","40.8 %","56.5 %","7.8 %","19.4 %","8.8 %","283","12144"
"Marwin Gonzalez","Astros","36.8 %","66.9 %","49.1 %","55.6 %","87.0 %","73.1 %","41.0 %","63.3 %","13.2 %","23.3 %","3.8 %","240","5497"
"Brian McCann","Yankees","34.5 %","61.8 %","45.4 %","67.7 %","91.0 %","80.4 %","40.0 %","56.0 %","8.9 %","20.6 %","10.1 %","218","4810"
"Javier Baez","Cubs","42.8 %","65.6 %","51.6 %","60.7 %","83.8 %","72.1 %","38.7 %","62.1 %","14.3 %","24.7 %","2.3 %","219","12979"
"Matt Wieters","Orioles","33.9 %","73.0 %","50.1 %","77.5 %","85.3 %","82.3 %","41.6 %","63.9 %","8.9 %","14.2 %","6.4 %","219","4298"
"Steven Souza Jr.","Rays","33.3 %","73.6 %","51.4 %","55.3 %","77.4 %","69.5 %","44.9 %","67.3 %","15.7 %","32.2 %","6.3 %","208","5667"
"Didi Gregorius","Yankees","45.0 %","76.5 %","58.7 %","70.2 %","88.5 %","80.6 %","43.6 %","63.9 %","11.4 %","16.8 %","2.9 %","280","6012"
"Marcus Semien","Athletics","27.7 %","67.6 %","45.7 %","63.2 %","87.1 %","79.2 %","45.2 %","53.3 %","9.5 %","21.4 %","7.7 %","285","12533"
"Alcides Escobar","Royals","39.2 %","69.2 %","51.9 %","67.7 %","84.4 %","77.2 %","42.3 %","64.5 %","11.8 %","15.2 %","4.8 %","290","6310"
