"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Joey Votto","Reds","22.7 %","74.3 %","45.2 %","81.9 %","89.3 %","87.2 %","43.7 %","50.0 %","5.6 %","10.2 %","15.0 %","314","4314"
"Freddie Freeman","Braves","30.1 %","79.8 %","51.0 %","60.8 %","80.0 %","73.4 %","42.1 %","56.1 %","13.4 %","24.0 %","15.4 %","312","5361"
"Miguel Cabrera","Tigers","33.7 %","73.0 %","49.5 %","68.1 %","87.3 %","79.5 %","40.3 %","57.4 %","10.0 %","17.1 %","11.4 %","298","1744"
"Gary Sanchez","Yankees","33.0 %","63.6 %","45.1 %","52.5 %","84.9 %","70.6 %","39.7 %","58.2 %","13.2 %","24.9 %","10.7 %","225","11442"
"Mike Trout","Angels","22.1 %","60.6 %","37.2 %","64.9 %","88.0 %","79.6 %","39.2 %","55.3 %","7.5 %","22.4 %","19.7 %","295","10155"
"Charlie Blackmon","Rockies","36.6 %","68.8 %","50.3 %","74.2 %","90.9 %","83.9 %","42.3 %","54.8 %","8.0 %","17.4 %","5.6 %","305","7859"
"Adrian Beltre","Rangers","37.9 %","66.0 %","49.2 %","80.9 %","93.4 %","87.7 %","40.3 %","58.6 %","6.0 %","8.9 %","8.6 %","292","639"
"Daniel Murphy","Nationals","31.9 %","67.5 %","46.4 %","81.1 %","96.4 %","90.1 %","40.7 %","54.6 %","4.5 %","8.6 %","7.7 %","220","4316"
"Brian Dozier","Twins","30.5 %","67.7 %","45.1 %","65.4 %","83.0 %","75.7 %","39.1 %","59.3 %","10.8 %","24.4 %","7.2 %","332","9810"
"DJ LeMahieu","Rockies","22.0 %","59.9 %","40.0 %","76.9 %","94.1 %","89.1 %","47.5 %","55.9 %","4.3 %","11.4 %","11.8 %","297","9874"
"Jean Segura","Diamondbacks","32.5 %","65.6 %","47.1 %","72.4 %","91.9 %","84.4 %","44.1 %","59.0 %","7.3 %","15.2 %","6.1 %","310","5933"
"J.D. Martinez","Tigers","34.3 %","79.3 %","53.3 %","52.7 %","84.7 %","72.8 %","42.2 %","64.7 %","14.5 %","25.4 %","9.5 %","232","6184"
"Yadier Molina","Cardinals","40.0 %","75.4 %","55.9 %","84.1 %","89.4 %","87.3 %","45.0 %","65.6 %","7.1 %","9.7 %","3.9 %","259","7007"
"Evan Gattis","Astros","29.9 %","63.5 %","43.1 %","66.7 %","83.2 %","76.3 %","39.5 %","52.9 %","10.2 %","27.2 %","9.3 %","246","11003"
"Mookie Betts","Red Sox","26.8 %","58.5 %","41.2 %","76.6 %","93.9 %","87.7 %","45.3 %","59.0 %","5.1 %","7.9 %","7.9 %","317","13611"
"Hanley Ramirez","Red Sox","32.1 %","69.1 %","48.3 %","62.4 %","87.6 %","78.2 %","43.8 %","64.9 %","10.4 %","19.9 %","9.6 %","271","8001"
"Trea Turner","Nationals","33.0 %","65.5 %","47.4 %","59.0 %","89.1 %","77.4 %","44.2 %","62.7 %","10.7 %","18.7 %","4.1 %","316","16252"
"Kris Bryant","Cubs","33.7 %","72.2 %","49.1 %","64.8 %","82.5 %","75.2 %","40.0 %","61.5 %","12.1 %","21.3 %","9.9 %","314","15429"
"Nelson Cruz","Mariners","32.1 %","70.1 %","47.7 %","54.4 %","83.1 %","71.8 %","41.1 %","59.0 %","13.4 %","22.4 %","8.3 %","290","2434"
"Ryan Braun","Brewers","36.6 %","73.2 %","50.1 %","66.8 %","88.2 %","78.3 %","36.9 %","57.0 %","10.7 %","18.4 %","9.4 %","256","3410"
"Asdrubal Cabrera","Mets","33.9 %","76.4 %","51.6 %","66.5 %","90.1 %","81.0 %","41.5 %","61.6 %","9.8 %","16.5 %","7.6 %","224","4962"
"Nolan Arenado","Rockies","34.9 %","69.8 %","49.5 %","70.1 %","87.3 %","80.3 %","41.9 %","59.9 %","9.6 %","16.3 %","9.6 %","312","9777"
"Jose Abreu","White Sox","39.2 %","68.7 %","50.5 %","70.0 %","87.3 %","79.0 %","38.2 %","56.8 %","10.5 %","15.2 %","7.9 %","315","15676"
"Justin Upton","Tigers","24.3 %","64.8 %","42.2 %","57.1 %","79.8 %","72.5 %","44.3 %","56.3 %","11.6 %","24.8 %","9.3 %","270","5222"
"Joc Pederson","Dodgers","26.2 %","58.8 %","39.5 %","60.8 %","82.7 %","74.1 %","40.7 %","57.0 %","10.1 %","29.9 %","15.0 %","214","11899"
